,0,1
524,other,other
525,other,other
526,"Adhfe1+,Crym+,Ifitm3+","Adhfe1+,Crym+,Ifitm3+"
527,other,other
528,other,other
529,other,other
530,other,other
531,other,other
532,other,other
533,other,other
534,other,other
535,other,other
536,other,other
537,other,other
538,other,other
539,blood,blood
540,other,other
541,other,other
542,other,other
543,other,other
544,other,other
545,other,other
546,other,other
547,other,other
548,other,other
549,other,other
550,other,other
551,other,other
552,other,other
553,other,other
554,other,other
555,other,other
556,other,other
557,other,other
558,other,other
559,other,other
560,other,other
561,other,other
562,other,other
563,other,other
564,other,other
565,other,other
566,other,other
567,other,other
568,other,other
569,other,other
570,other,other
571,other,other
572,other,other
573,other,other
574,other,other
575,other,other
576,other,other
577,other,other
578,other,other
579,other,other
580,other,other
581,other,other
582,other,other
583,blood,blood
584,other,other
585,other,other
586,other,other
587,other,other
588,other,other
589,other,other
590,other,other
591,other,other
592,other,other
593,other,other
594,blood,blood
595,other,other
596,other,other
597,other,other
598,other,other
599,other,other
600,other,other
601,other,other
602,other,other
603,other,other
604,other,other
605,other,other
606,other,other
607,other,other
608,other,other
609,other,other
610,other,other
611,other,other
612,other,other
613,other,other
614,other,other
615,other,other
616,other,other
617,other,other
618,other,other
619,other,other
620,other,other
621,other,other
622,other,other
623,other,other
624,other,other
625,other,other
626,other,other
627,other,other
628,other,other
629,"Adhfe1+,Crym+,Ifitm3+","Adhfe1+,Crym+,Ifitm3+"
630,other,other
631,other,other
632,other,other
633,other,other
634,other,other
635,other,other
636,other,other
637,other,other
638,other,other
639,other,other
640,other,other
641,other,other
642,other,other
643,other,other
644,other,other
645,other,other
646,other,other
647,other,other
648,other,other
649,other,other
650,other,other
651,other,other
652,other,other
653,other,other
654,other,other
655,other,other
656,other,other
657,other,other
658,other,other
659,other,other
660,other,other
661,other,other
662,other,other
663,other,other
664,other,other
665,other,other
666,other,other
667,other,other
668,other,other
669,other,other
670,other,other
671,other,other
672,other,other
673,other,other
674,other,other
675,blood,blood
676,other,other
677,other,other
678,other,other
679,other,other
680,other,other
681,other,other
682,other,other
683,other,other
684,other,other
685,other,other
686,other,other
687,other,other
688,other,other
689,other,other
690,other,other
691,other,other
692,other,other
693,other,other
694,other,other
695,other,other
696,other,other
697,other,other
698,other,other
699,other,other
700,other,other
701,other,other
702,other,other
703,other,other
704,other,other
705,other,other
706,other,other
707,other,other
708,other,other
709,other,other
710,other,other
711,other,other
712,other,other
713,other,other
714,other,other
715,other,other
716,other,other
717,"Adhfe1+,Crym+,Ifitm3+","Adhfe1+,Crym+,Ifitm3+"
718,other,other
719,other,other
720,other,other
721,other,other
722,other,other
723,other,other
724,other,other
725,other,other
726,other,other
727,other,other
728,other,other
729,other,other
730,other,other
731,other,other
732,other,other
733,other,other
734,other,other
735,blood,blood
736,other,other
737,other,other
738,other,other
739,other,other
740,other,other
741,other,other
742,other,other
743,other,other
744,other,other
745,other,other
746,other,other
747,other,other
748,other,other
749,other,other
750,other,other
751,other,other
752,blood,blood
753,other,other
754,other,other
755,other,other
756,other,other
757,other,other
758,other,other
759,other,other
760,other,other
761,other,other
762,other,other
763,other,other
764,other,other
765,other,other
766,other,other
767,other,other
768,other,other
769,other,other
770,other,other
771,other,other
772,other,other
773,other,other
774,other,other
775,other,other
776,other,other
777,other,other
778,other,other
779,other,other
780,other,other
781,other,other
782,other,other
783,other,other
784,other,other
785,other,other
786,other,other
787,other,other
788,other,other
789,other,other
790,other,other
791,other,other
792,other,other
793,other,other
794,other,other
795,other,other
796,other,other
797,other,other
798,other,other
799,other,other
800,other,other
801,other,other
802,other,other
803,other,other
804,other,other
805,other,other
806,other,other
807,other,other
808,other,other
809,other,other
810,other,other
811,other,other
812,other,other
813,other,other
814,other,other
815,other,other
816,other,other
817,other,other
818,other,other
819,other,other
820,other,other
821,other,other
822,other,other
823,other,other
824,other,other
825,other,other
826,other,other
827,other,other
828,other,other
829,other,other
830,other,other
831,other,other
832,other,other
833,other,other
834,other,other
835,other,other
836,other,other
837,other,other
838,other,other
839,other,other
840,other,other
841,other,other
842,other,other
843,other,other
844,other,other
845,other,other
846,other,other
847,other,other
848,other,other
849,other,other
850,other,other
851,other,other
852,other,other
853,other,other
854,other,other
855,other,other
856,other,other
857,other,other
858,other,other
859,other,other
860,other,other
861,other,other
862,other,other
863,other,other
864,other,other
865,blood,blood
866,other,other
867,other,other
868,other,other
869,other,other
870,other,other
871,other,other
872,other,other
873,other,other
874,other,other
875,other,other
876,other,other
877,other,other
878,other,other
879,other,other
880,other,other
881,other,other
882,other,other
883,other,other
884,other,other
885,other,other
886,other,other
887,other,other
888,other,other
889,other,other
890,other,other
891,other,other
892,other,other
893,other,other
894,other,other
895,other,other
896,other,other
897,other,other
898,other,other
899,other,other
900,other,other
901,other,other
902,other,other
903,other,other
904,other,other
905,other,other
906,other,other
907,other,other
908,other,other
909,other,other
910,other,other
911,other,other
912,other,other
913,other,other
914,other,other
915,other,other
916,other,other
917,other,other
918,other,other
919,other,other
920,other,other
921,other,other
922,other,other
923,other,other
924,other,other
925,other,other
926,other,other
927,blood,blood
928,other,other
929,other,other
930,other,other
931,other,other
932,other,other
933,other,other
934,other,other
935,other,other
936,other,other
937,other,other
938,other,other
939,other,other
940,other,other
941,other,other
942,other,other
943,other,other
944,other,other
945,other,other
946,other,other
947,other,other
948,other,other
949,other,other
950,other,other
951,other,other
952,other,other
953,other,other
954,other,other
955,other,other
956,other,other
957,other,other
958,other,other
959,other,other
960,other,other
961,other,other
962,other,other
963,other,other
964,other,other
965,other,other
966,other,other
967,other,other
968,other,other
969,other,other
970,other,other
