,AU,BP,SE.AU,SE.BP,pchi,v,c
0,0.9477082436033206,0.7309120798614563,0.02760384498365521,0.014930310050476014,0.9818386557171365,-1.1193006872233948,0.5037268761086566
1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0.9244689329163758,0.7966852513242163,0.03803755084823488,0.013522399972153964,0.758346996979967,-1.132814733815051,0.3029751678913794
3,0.9096201782409914,0.9043301472916815,0.05240458826610518,0.010096369674450628,0.7523656030078815,-1.3225229593797827,0.01589679301517247
4,0.5472072534153338,0.6015242130810705,0.09694237678916326,0.016086029246166946,0.8499852111910271,-0.18795143576186107,-0.06934288818019327
5,0.9354406457485784,0.9101279637890011,0.041950773681220924,0.009967207513728057,0.8881654515805532,-1.4295649032131974,0.08802145303951366
6,0.6551144453602634,0.43806096782975035,0.09008226114698249,0.016292424574703115,0.9628877945719744,-0.1216392542471903,0.2775264532594942
7,0.8198407343371314,0.7641379465436684,0.06897943961679069,0.01413447289708335,0.9429033730148506,-0.817217473792282,0.0975408250437594
8,0.8063344463636077,0.7750656062806898,0.07389250573389146,0.01395154620836264,0.9648430998124898,-0.810050665324344,0.05441686949200629
9,1.0,1.0,0.0,0.0,0.0,0.0,0.0
10,0.9994398062935723,0.9957665974377248,0.0031972573153832362,0.005346432498666979,0.9855396550988627,-2.945636962342423,0.3127721935660095
11,0.931368642170944,0.9863511723190137,0.0893745313121796,0.004967691190443248,0.9763272842863813,-1.8466484437574644,-0.3605864184583275
12,0.7198135919985096,0.8554848129493344,0.09866853879477686,0.011703778644067244,0.887418835048702,-0.8212694747929982,-0.23898163659548488
13,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14,0.7252881690664605,0.60278841703725,0.08176384248706726,0.016117823107618,0.9893071244029887,-0.42959761274866387,0.16902636642153632
15,0.9259858243981492,0.5448751710775428,0.0346694033792363,0.01647615264247549,0.8657762894781352,-0.7796272712594217,0.6669036301925938
16,1.0,1.0,0.0,0.0,0.0,0.0,0.0
17,0.9286783153125135,0.8053531015369394,0.0371140775789163,0.013389475877614425,0.963733856193571,-1.1634584123413088,0.3025596382707817
18,0.942274989832238,0.26806488713488763,0.03329660003403883,0.014519812602529722,0.9700628811680229,-0.4777429227445635,1.0964189977343661
19,0.9229214302862347,0.923760331034882,0.0491561777088901,0.009157539357113163,0.8162725103036318,-1.4279144176142984,-0.00291420424833673
20,0.8295438451690094,0.5538337457916372,0.062074827629665506,0.016392352497661754,0.9337825329631464,-0.5438587727039367,0.40850542584831084
21,0.6854603846434766,0.3879796341209494,0.08795186448655529,0.015984868442782043,0.9383599241944174,-0.09921727219872098,0.383805973860583
22,0.6677274167546513,0.4394249810156238,0.08908455227755566,0.01628695954690704,0.9873973765529301,-0.14060961972043573,0.2930368744977298
23,0.6397786276554099,0.3496198043184484,0.09420095857894133,0.015637958534483205,0.9968448287687046,0.014239990566709155,0.3721071280445995
24,0.8303893258951491,0.21000891965802482,0.07484778883753818,0.013343186899983117,0.861985607397135,-0.07465729904191665,0.8810475970419714
25,0.7599909660588201,0.32324627509314796,0.08018323557379504,0.015340698164384202,0.8035214779380715,-0.12381664231424769,0.5824568609328475
26,0.9217375003263526,0.2102856209778713,0.042612786228379926,0.013362946256412418,0.908523981281275,-0.30571275967251965,1.1111433554729588
27,0.7436779616626503,0.0839304916323993,0.12169521570963682,0.009186110421593318,0.6103060338487467,0.3621916874298823,1.01691785138744
28,0.8358252474876585,0.18459033791138701,0.0728796713973793,0.012697659564318085,0.9218882686045393,-0.039717311858416454,0.937726453490204
29,0.8861596382427078,0.06527177927479677,0.08331501187918286,0.008114412456972793,0.9959156438763046,0.15280355299511625,1.3591583342549858
30,0.9438387886717997,0.12533863511527255,0.04062828630404082,0.010947507482224762,0.62639816058272,-0.2195672713591918,1.3682731760982718
31,0.8414308229803588,0.03092352648514074,0.20656175894151893,0.006429078990735626,0.966361342390332,0.4335174326485443,1.433873228696284
32,0.9755224445600775,0.12476326799571447,0.020653386007699507,0.010898848869116696,0.9957001069467974,-0.4087411336238942,1.5602412777566164
33,1.0,1.0,0.0,0.0,0.0,0.0,0.0
