,State,AU,BP
0,"[list(['Hbb-bt-', 'Hba-a1-', 'Hba-a2-'])
 list(['Hbb-bt-', 'Hba-a1+', 'Hba-a2+'])]",1,1
1,"[list(['Hbb-bt+', 'Hba-a1+', 'Hba-a2+'])
 list(['Hbb-bt-', 'Hba-a1-', 'Hba-a2-'])
 list(['Hbb-bt-', 'Hba-a1+', 'Hba-a2+'])]",1,1
