task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
30	3c/a4d3fb	9437862	estimateCoups (10)	COMPLETED	0	2021-01-20 11:40:38.508	7h 42m 21s	7h 40m 20s	1191.4%	1 MB	2.1 MB	1.8 TB	1.8 TB
36	02/4f9e7a	9437888	estimateCoups (14)	COMPLETED	0	2021-01-20 11:45:28.666	7h 39m 51s	7h 37m 47s	1156.1%	1 MB	2.1 MB	1.8 TB	1.8 TB
39	4c/a23036	9437894	estimateCoups (16)	COMPLETED	0	2021-01-20 11:46:13.656	7h 41m 6s	7h 39m 42s	1140.3%	2.3 GB	22.1 GB	1.8 TB	1.8 TB
27	21/679cf7	9437861	estimateCoups (8)	COMPLETED	0	2021-01-20 11:40:33.595	7h 55m 41s	7h 53m 32s	1160.2%	2.3 GB	28.5 GB	1.8 TB	1.8 TB
45	e3/ac326f	9437941	estimateCoups (20)	COMPLETED	0	2021-01-20 11:53:43.613	7h 45m 16s	7h 43m 32s	1159.4%	1 MB	2.1 MB	1.8 TB	1.8 TB
42	44/32cd0f	9437915	estimateCoups (18)	COMPLETED	0	2021-01-20 11:49:28.564	7h 49m 56s	7h 47m 51s	1165.5%	1 MB	2.1 MB	1.8 TB	1.8 TB
55	5c/fbc9da	9441428	estimateCoups (30)	COMPLETED	0	2021-01-20 17:05:12.236	2h 39m 58s	2h 38m 55s	1000.1%	1 MB	2.1 MB	1.8 TB	1.8 TB
31	70/487b81	9437867	estimateCoups (11)	COMPLETED	0	2021-01-20 11:41:08.827	8h 5m 36s	8h 4m 2s	1170.4%	1016 KB	2.1 MB	1.8 TB	1.8 TB
44	ed/9a8765	9437940	estimateCoups (19)	COMPLETED	0	2021-01-20 11:53:43.580	8h 5m 41s	8h 3m 58s	1175.6%	1 MB	2.1 MB	1.8 TB	1.8 TB
33	3d/a58078	9437868	estimateCoups (12)	COMPLETED	0	2021-01-20 11:41:08.865	8h 18m 26s	8h 16m 53s	1160.5%	1 MB	2.1 MB	1.8 TB	1.8 TB
34	16/5729eb	9437889	estimateCoups (13)	COMPLETED	0	2021-01-20 11:45:28.700	8h 18m 26s	8h 16m 19s	1196.6%	1 MB	2.1 MB	1.8 TB	1.8 TB
29	8c/3e40c3	9437864	estimateCoups (9)	COMPLETED	0	2021-01-20 11:40:38.572	8h 23m 36s	8h 21m 33s	1194.4%	1 MB	2.1 MB	1.8 TB	1.8 TB
23	ab/ff445c	9437855	estimateCoups (5)	COMPLETED	0	2021-01-20 11:39:33.531	8h 28m 41s	8h 26m 33s	1195.9%	2.3 GB	22.1 GB	1.8 TB	1.8 TB
38	bf/e0237f	9437893	estimateCoups (15)	COMPLETED	0	2021-01-20 11:46:13.624	8h 24m 11s	8h 22m 51s	1195.2%	2.3 GB	22.1 GB	1.8 TB	1.8 TB
41	bf/dd4dab	9437916	estimateCoups (17)	COMPLETED	0	2021-01-20 11:49:28.592	8h 36m 6s	8h 34m 2s	1157.7%	1 MB	2.1 MB	1.8 TB	1.8 TB
26	ff/bbc5ac	9437860	estimateCoups (7)	COMPLETED	0	2021-01-20 11:40:33.561	9h 8m 21s	9h 6m 4s	1042.6%	1 MB	2.1 MB	1.8 TB	1.8 TB
19	55/a08e0c	9437837	estimateCoups (3)	COMPLETED	0	2021-01-20 11:36:33.559	9h 57m 12s	9h 55m	1165.2%	1 MB	2.1 MB	1.8 TB	1.8 TB
