,Symbol,GeneID,Name,Species,# PPI ,Type
,Camta2,216874,calmodulin binding transcription activator 2,mouse,0,TF
,Carhsp1,52502,calcium regulated heat stable protein 1,mouse,0,TF
,Casz1,69743,castor zinc finger 1,mouse,0,TF
,Cbfb,12400,core binding factor beta,mouse,2,TF
,Ccdc79,320022,coiled-coil domain containing 79,mouse,0,TF
,Cdc5l,71702,cell division cycle 5-like (S. pombe),mouse,1,TF
,Cdx1,12590,caudal type homeobox 1,mouse,1,TF
,Cdx2,12591,caudal type homeobox 2,mouse,0,TF
,Cdx4,12592,caudal type homeobox 4,mouse,0,TF
,Cebpa,12606,"CCAAT/enhancer binding protein (C/EBP), alpha",mouse,5,TF
,Cebpb,12608,"CCAAT/enhancer binding protein (C/EBP), beta",mouse,4,TF
,Cebpd,12609,"CCAAT/enhancer binding protein (C/EBP), delta",mouse,1,TF
,Cebpe,110794,"CCAAT/enhancer binding protein (C/EBP), epsilon",mouse,0,TF
,Cebpg,12611,"CCAAT/enhancer binding protein (C/EBP), gamma",mouse,0,TF
,Cebpz,12607,CCAAT/enhancer binding protein zeta,mouse,2,TF
,Cenpt,320394,centromere protein T,mouse,0,TF
,Champ1,101994,chromosome alignment maintaining phosphoprotein 1,mouse,0,TF
,Cic,71722,capicua transcriptional repressor,mouse,0,TF
,Ciz1,68379,CDKN1A interacting zinc finger protein 1,mouse,0,TF
,Clock,12753,circadian locomotor output cycles kaput,mouse,7,TF
,Cnot4,53621,"CCR4-NOT transcription complex, subunit 4",mouse,0,TF
,Cpxcr1,382239,"CPX chromosome region, candidate 1",mouse,0,TF
,Cramp1l,57354,"Crm, cramped-like (Drosophila)",mouse,0,TF
,Creb1,12912,cAMP responsive element binding protein 1,mouse,0,TF
,Creb3,12913,cAMP responsive element binding protein 3,mouse,0,TF
,Creb3l1,26427,cAMP responsive element binding protein 3-like 1,mouse,1,TF
,Creb3l2,208647,cAMP responsive element binding protein 3-like 2,mouse,0,TF
,Creb3l3,208677,cAMP responsive element binding protein 3-like 3,mouse,0,TF
,Creb3l4,78284,cAMP responsive element binding protein 3-like 4,mouse,3,TF
,Creb5,231991,cAMP responsive element binding protein 5,mouse,0,TF
,Crebbp,12914,CREB binding protein,mouse,13,TF
,Crebl2,232430,cAMP responsive element binding protein-like 2,mouse,0,TF
,Crebzf,233490,CREB/ATF bZIP transcription factor,mouse,0,TF
,Crem,12916,cAMP responsive element modulator,mouse,2,TF
,Crx,12951,cone-rod homeobox,mouse,0,TF
,Csrnp1,215418,cysteine-serine-rich nuclear protein 1,mouse,0,TF
,Csrnp2,207785,cysteine-serine-rich nuclear protein 2,mouse,0,TF
,Csrnp3,77771,cysteine-serine-rich nuclear protein 3,mouse,0,TF
,Ctcf,13018,CCCTC-binding factor,mouse,3,TF
,Ctcfl,664799,CCCTC-binding factor (zinc finger protein)-like,mouse,1,TF
,Cux1,13047,cut-like homeobox 1,mouse,0,TF
,Cux2,13048,cut-like homeobox 2,mouse,0,TF
,Cxxc1,74322,CXXC finger 1 (PHD domain),mouse,0,TF
,D630045J12Rik,330286,RIKEN cDNA D630045J12 gene,mouse,0,TF
,Dach1,13134,dachshund 1 (Drosophila),mouse,1,TF
,Dach2,93837,dachshund 2 (Drosophila),mouse,0,TF
,Dbp,13170,D site albumin promoter binding protein,mouse,1,TF
,Dbx1,13172,developing brain homeobox 1,mouse,0,TF
,Dbx2,223843,developing brain homeobox 2,mouse,0,TF
,Ddb2,107986,damage specific DNA binding protein 2,mouse,0,TF
,Ddit3,13198,DNA-damage inducible transcript 3,mouse,0,TF
,Deaf1,54006,deformed epidermal autoregulatory factor 1 (Drosophila),mouse,0,TF
,Dlx1,13390,distal-less homeobox 1,mouse,0,TF
,Dlx2,13392,distal-less homeobox 2,mouse,0,TF
,Dlx3,13393,distal-less homeobox 3,mouse,0,TF
,Dlx4,13394,distal-less homeobox 4,mouse,1,TF
,Dlx5,13395,distal-less homeobox 5,mouse,1,TF
,Dlx6,13396,distal-less homeobox 6,mouse,0,TF
,Dmap1,66233,DNA methyltransferase 1-associated protein 1,mouse,10,TF
,Dmbx1,140477,diencephalon/mesencephalon homeobox 1,mouse,0,TF
,Dmrt1,50796,doublesex and mab-3 related transcription factor 1,mouse,0,TF
,Dmrt2,226049,doublesex and mab-3 related transcription factor 2,mouse,1,TF
,Dmrt3,240590,doublesex and mab-3 related transcription factor 3,mouse,0,TF
,Dmrta1,242523,doublesex and mab-3 related transcription factor like family A1,mouse,0,TF
,Dmrta2,242620,doublesex and mab-3 related transcription factor like family A2,mouse,0,TF
,Dmrtb1,56296,"DMRT-like family B with proline-rich C-terminal, 1",mouse,0,TF
,Dmrtc1a,70887,DMRT-like family C1a,mouse,0,TF
,Dmrtc1b,632708,DMRT-like family C1b,mouse,0,TF
,Dmrtc1c1,71083,DMRT-like family C1c1,mouse,0,TF
,Dmrtc1c2,668357,DMRT-like family C1c2,mouse,0,TF
,Dmrtc2,71241,doublesex and mab-3 related transcription factor like family C2,mouse,0,TF
,Dmtf1,23857,cyclin D binding myb-like transcription factor 1,mouse,0,TF
,Dnajc1,13418,DnaJ heat shock protein family (Hsp40) member C1,mouse,0,TF
,Dnajc2,22791,DnaJ heat shock protein family (Hsp40) member C2,mouse,0,TF
,Dnajc21,78244,DnaJ heat shock protein family (Hsp40) member C21,mouse,0,TF
,Dnmt1,13433,DNA methyltransferase (cytosine-5) 1,mouse,3,TF
