,Symbol,GeneID,Name,Species,# PPI ,Type
,Ikzf2,22779,IKAROS family zinc finger 2,mouse,0,TF
,Ikzf3,22780,IKAROS family zinc finger 3,mouse,2,TF
,Ikzf4,22781,IKAROS family zinc finger 4,mouse,0,TF
,Ikzf5,67143,IKAROS family zinc finger 5,mouse,0,TF
,Insm1,53626,insulinoma-associated 1,mouse,0,TF
,Insm2,56856,insulinoma-associated 2,mouse,0,TF
,Irf1,16362,interferon regulatory factor 1,mouse,3,TF
,Irf2,16363,interferon regulatory factor 2,mouse,1,TF
,Irf3,54131,interferon regulatory factor 3,mouse,0,TF
,Irf4,16364,interferon regulatory factor 4,mouse,0,TF
,Irf5,27056,interferon regulatory factor 5,mouse,2,TF
,Irf6,54139,interferon regulatory factor 6,mouse,0,TF
,Irf7,54123,interferon regulatory factor 7,mouse,3,TF
,Irf8,15900,interferon regulatory factor 8,mouse,3,TF
,Irf9,16391,interferon regulatory factor 9,mouse,0,TF
,Irx1,16371,Iroquois related homeobox 1 (Drosophila),mouse,0,TF
,Irx2,16372,Iroquois related homeobox 2 (Drosophila),mouse,0,TF
,Irx3,16373,Iroquois related homeobox 3,mouse,0,TF
,Irx4,50916,Iroquois related homeobox 4 (Drosophila),mouse,0,TF
,Irx5,54352,Iroquois related homeobox 5 (Drosophila),mouse,0,TF
,Irx6,64379,Iroquois related homeobox 6 (Drosophila),mouse,0,TF
,Isl1,16392,"ISL1 transcription factor, LIM/homeodomain",mouse,1,TF
,Isl2,104360,insulin related protein 2 (islet 2),mouse,2,TF
,Isx,71597,intestine specific homeobox,mouse,0,TF
,Jarid2,16468,"jumonji, AT rich interactive domain 2",mouse,9,TF
,Jazf1,231986,JAZF zinc finger 1,mouse,0,TF
,Jdp2,81703,Jun dimerization protein 2,mouse,1,TF
,Jun,16476,jun proto-oncogene,mouse,6,TF
,Junb,16477,jun B proto-oncogene,mouse,1,TF
,Jund,16478,jun D proto-oncogene,mouse,1,TF
,Jund2,110330,Jun proto-oncogene related gene d2,mouse,0,TF
,Kat5,81601,K(lysine) acetyltransferase 5,mouse,20,TF
,Kat6a,244349,K(lysine) acetyltransferase 6A,mouse,0,TF
,Kat6b,54169,K(lysine) acetyltransferase 6B,mouse,0,TF
,Kat7,217127,K(lysine) acetyltransferase 7,mouse,0,TF
,Kat8,67773,K(lysine) acetyltransferase 8,mouse,2,TF
,Kcmf1,74287,potassium channel modulatory factor 1,mouse,1,TF
,Kcnip3,56461,"Kv channel interacting protein 3, calsenilin",mouse,1,TF
,Kdm2a,225876,lysine (K)-specific demethylase 2A,mouse,0,TF
,Kdm5a,214899,lysine (K)-specific demethylase 5A,mouse,1,TF
,Kdm5b,75605,lysine (K)-specific demethylase 5B,mouse,1,TF
,Kdm5c,20591,lysine (K)-specific demethylase 5C,mouse,0,TF
,Kdm5d,20592,lysine (K)-specific demethylase 5D,mouse,1,TF
,Khsrp,16549,KH-type splicing regulatory protein,mouse,0,TF
,Klf1,16596,Kruppel-like factor 1 (erythroid),mouse,0,TF
,Klf10,21847,Kruppel-like factor 10,mouse,1,TF
,Klf11,194655,Kruppel-like factor 11,mouse,0,TF
,Klf12,16597,Kruppel-like factor 12,mouse,0,TF
,Klf13,50794,Kruppel-like factor 13,mouse,0,TF
,Klf14,619665,Kruppel-like factor 14,mouse,0,TF
,Klf15,66277,Kruppel-like factor 15,mouse,0,TF
,Klf16,118445,Kruppel-like factor 16,mouse,0,TF
,Klf17,75753,Kruppel-like factor 17,mouse,0,TF
,Klf2,16598,Kruppel-like factor 2 (lung),mouse,1,TF
,Klf3,16599,Kruppel-like factor 3 (basic),mouse,2,TF
,Klf4,16600,Kruppel-like factor 4 (gut),mouse,0,TF
,Klf5,12224,Kruppel-like factor 5,mouse,2,TF
,Klf6,23849,Kruppel-like factor 6,mouse,0,TF
,Klf7,93691,Kruppel-like factor 7 (ubiquitous),mouse,0,TF
,Klf8,245671,Kruppel-like factor 8,mouse,0,TF
,Klf9,16601,Kruppel-like factor 9,mouse,0,TF
,Kmt2a,214162,lysine (K)-specific methyltransferase 2A,mouse,3,TF
,Kmt2b,75410,lysine (K)-specific methyltransferase 2B,mouse,0,TF
,Kmt2c,231051,lysine (K)-specific methyltransferase 2C,mouse,1,TF
,Kmt2e,69188,lysine (K)-specific methyltransferase 2E,mouse,0,TF
,L3mbtl1,241764,l(3)mbt-like (Drosophila),mouse,0,TF
,L3mbtl2,214669,l(3)mbt-like 2 (Drosophila),mouse,11,TF
,L3mbtl3,237339,l(3)mbt-like 3 (Drosophila),mouse,0,TF
,L3mbtl4,320858,l(3)mbt-like 4 (Drosophila),mouse,0,TF
,Lbx1,16814,ladybird homeobox homolog 1 (Drosophila),mouse,1,TF
,Lbx2,16815,ladybird homeobox homolog 2 (Drosophila),mouse,0,TF
,Lcor,212391,ligand dependent nuclear receptor corepressor,mouse,0,TF
,Lcorl,209707,ligand dependent nuclear receptor corepressor-like,mouse,0,TF
,Lef1,16842,lymphoid enhancer binding factor 1,mouse,2,TF
,Lhx1,16869,LIM homeobox protein 1,mouse,1,TF
,Lhx2,16870,LIM homeobox protein 2,mouse,2,TF
,Lhx3,16871,LIM homeobox protein 3,mouse,0,TF
,Lhx4,16872,LIM homeobox protein 4,mouse,1,TF
,Lhx5,16873,LIM homeobox protein 5,mouse,1,TF
,Lhx6,16874,LIM homeobox protein 6,mouse,0,TF
,Lhx8,16875,LIM homeobox protein 8,mouse,0,TF
,Lhx9,16876,LIM homeobox protein 9,mouse,2,TF
,Lmx1a,110648,LIM homeobox transcription factor 1 alpha,mouse,2,TF
,Lmx1b,16917,LIM homeobox transcription factor 1 beta,mouse,1,TF
,Lmyc2,110450,lung carcinoma myc related oncogene 2,mouse,0,TF
,Lrrfip1,16978,leucine rich repeat (in FLII) interacting protein 1,mouse,1,TF
,Lrrfip2,71268,leucine rich repeat (in FLII) interacting protein 2,mouse,1,TF
,Lyar,17089,Ly1 antibody reactive clone,mouse,0,TF
,Lyl1,17095,lymphoblastomic leukemia 1,mouse,0,TF
,Mael,98558,maelstrom spermatogenic transposon silencer,mouse,1,TF
,Maf,17132,avian musculoaponeurotic fibrosarcoma oncogene homolog,mouse,0,TF
,Maf1,68877,"MAF1 homolog, negative regulator of RNA polymerase III",mouse,0,TF
,Mafa,378435,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein A (avian)",mouse,0,TF
,Mafb,16658,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)",mouse,0,TF
,Maff,17133,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)",mouse,1,TF
,Mafg,17134,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)",mouse,1,TF
,Mafk,17135,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)",mouse,1,TF
,Matr3,17184,matrin 3,mouse,3,TF
,Max,17187,Max protein,mouse,0,TF
,Maz,17188,MYC-associated zinc finger protein (purine-binding transcription factor),mouse,0,TF
,Mbd1,17190,methyl-CpG binding domain protein 1,mouse,1,TF
,Mbd2,17191,methyl-CpG binding domain protein 2,mouse,0,TF
,Mbd3,17192,methyl-CpG binding domain protein 3,mouse,1,TF
,Mbd3l1,73503,methyl-CpG binding domain protein 3-like 1,mouse,0,TF
,Mbd3l2,234988,methyl-CpG binding domain protein 3-like 2,mouse,0,TF
,Mbd4,17193,methyl-CpG binding domain protein 4,mouse,1,TF
,Mbd5,109241,methyl-CpG binding domain protein 5,mouse,0,TF
,Mbd6,110962,methyl-CpG binding domain protein 6,mouse,0,TF
,Mbnl3,171170,muscleblind-like 3 (Drosophila),mouse,0,TF
,Mecom,14013,MDS1 and EVI1 complex locus,mouse,0,TF
,Mecp2,17257,methyl CpG binding protein 2,mouse,5,TF
,Mef2a,17258,myocyte enhancer factor 2A,mouse,2,TF
,Mef2b,17259,myocyte enhancer factor 2B,mouse,0,TF
,Mef2c,17260,myocyte enhancer factor 2C,mouse,4,TF
,Mef2d,17261,myocyte enhancer factor 2D,mouse,2,TF
,Meis1,17268,Meis homeobox 1,mouse,0,TF
,Meis2,17536,Meis homeobox 2,mouse,0,TF
,Meis3,17537,Meis homeobox 3,mouse,0,TF
,Meox1,17285,mesenchyme homeobox 1,mouse,0,TF
,Meox2,17286,mesenchyme homeobox 2,mouse,1,TF
,Mesp1,17292,mesoderm posterior 1,mouse,0,TF
,Mesp2,17293,mesoderm posterior 2,mouse,0,TF
,Mga,29808,MAX gene associated,mouse,1,TF
,Mier1,71148,mesoderm induction early response 1 homolog (Xenopus laevis,mouse,0,TF
,Mier2,70427,"mesoderm induction early response 1, family member 2",mouse,0,TF
,Mier3,218613,"mesoderm induction early response 1, family member 3",mouse,0,TF
,Mitf,17342,microphthalmia-associated transcription factor,mouse,2,TF
,Mixl1,27217,Mix1 homeobox-like 1 (Xenopus laevis),mouse,2,TF
,Mkx,210719,mohawk homeobox,mouse,0,TF
,Mllt1,64144,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1",mouse,2,TF
,Mllt10,17354,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10",mouse,0,TF
,Mllt11,56772,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11",mouse,0,TF
,Mllt3,70122,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3",mouse,3,TF
,Mllt4,17356,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4",mouse,1,TF
,Mllt6,246198,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6",mouse,0,TF
,Mlx,21428,MAX-like protein X,mouse,0,TF
,Mlxip,208104,MLX interacting protein,mouse,1,TF
,Mlxipl,58805,MLX interacting protein-like,mouse,1,TF
,Mnt,17428,max binding protein,mouse,1,TF
,Mnx1,15285,motor neuron and pancreas homeobox 1,mouse,0,TF
,Msc,17681,musculin,mouse,0,TF
,Msgn1,56184,mesogenin 1,mouse,0,TF
,Msx1,17701,msh homeobox 1,mouse,3,TF
,Msx2,17702,msh homeobox 2,mouse,1,TF
,Msx3,17703,msh homeobox 3,mouse,0,TF
,Mta1,116870,metastasis associated 1,mouse,4,TF
,Mta2,23942,"metastasis-associated gene family, member 2",mouse,4,TF
,Mta3,116871,metastasis associated 3,mouse,1,TF
,Mtf1,17764,metal response element binding transcription factor 1,mouse,1,TF
,Mtf2,17765,metal response element binding transcription factor 2,mouse,6,TF
,Mxd1,17119,MAX dimerization protein 1,mouse,0,TF
,Mxd3,17121,Max dimerization protein 3,mouse,0,TF
,Mxd4,17122,Max dimerization protein 4,mouse,0,TF
,Mxi1,17859,"MAX interactor 1, dimerization protein",mouse,0,TF
,Myb,17863,myeloblastosis oncogene,mouse,4,TF
,Mybl1,17864,myeloblastosis oncogene-like 1,mouse,0,TF
,Mybl2,17865,myeloblastosis oncogene-like 2,mouse,1,TF
,Myc,17869,myelocytomatosis oncogene,mouse,5,TF
,Mycl,16918,"v-myc myelocytomatosis viral oncogene homolog, lung carcinoma derived (avian)",mouse,0,TF
,Mycn,18109,"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)",mouse,0,TF
,Mycs,17870,"myc-like oncogene, s-myc protein",mouse,0,TF
,Myf5,17877,myogenic factor 5,mouse,0,TF
,Myf6,17878,myogenic factor 6,mouse,0,TF
,Mynn,80732,myoneurin,mouse,0,TF
,Myod1,17927,myogenic differentiation 1,mouse,4,TF
,Myog,17928,myogenin,mouse,0,TF
,Myrf,225908,myelin regulatory factor,mouse,0,TF
,Mysm1,320713,"myb-like, SWIRM and MPN domains 1",mouse,0,TF
,Myt1,17932,myelin transcription factor 1,mouse,1,TF
,Myt1l,17933,myelin transcription factor 1-like,mouse,1,TF
,Mzf1,109889,myeloid zinc finger 1,mouse,0,TF
,Nanog,71950,Nanog homeobox,mouse,43,TF
,Ncoa1,17977,nuclear receptor coactivator 1,mouse,2,TF
,Ncoa2,17978,nuclear receptor coactivator 2,mouse,2,TF
,Ncoa3,17979,nuclear receptor coactivator 3,mouse,12,TF
,Ncoa4,27057,nuclear receptor coactivator 4,mouse,0,TF
,Ncoa5,228869,nuclear receptor coactivator 5,mouse,2,TF
,Ncoa6,56406,nuclear receptor coactivator 6,mouse,1,TF
,Ncoa7,211329,nuclear receptor coactivator 7,mouse,0,TF
,Ncor1,20185,nuclear receptor co-repressor 1,mouse,5,TF
,Ncor2,20602,nuclear receptor co-repressor 2,mouse,3,TF
,Neurod1,18012,neurogenic differentiation 1,mouse,2,TF
,Neurod2,18013,neurogenic differentiation 2,mouse,0,TF
,Neurod4,11923,neurogenic differentiation 4,mouse,0,TF
,Neurod6,11922,neurogenic differentiation 6,mouse,0,TF
,Neurog1,18014,neurogenin 1,mouse,1,TF
,Neurog2,11924,neurogenin 2,mouse,1,TF
,Neurog3,11925,neurogenin 3,mouse,0,TF
,Nfat5,54446,nuclear factor of activated T cells 5,mouse,0,TF
,Nfatc1,18018,"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1",mouse,1,TF
,Nfatc2,18019,"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2",mouse,3,TF
,Nfatc3,18021,"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3",mouse,0,TF
,Nfatc4,73181,"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 4",mouse,1,TF
,Nfe2,18022,"nuclear factor, erythroid derived 2",mouse,23,TF
,Nfe2l1,18023,"nuclear factor, erythroid derived 2,-like 1",mouse,0,TF
,Nfe2l2,18024,"nuclear factor, erythroid derived 2, like 2",mouse,6,TF
,Nfe2l3,18025,"nuclear factor, erythroid derived 2, like 3",mouse,0,TF
,Nfia,18027,nuclear factor I/A,mouse,0,TF
,Nfib,18028,nuclear factor I/B,mouse,0,TF
,Nfic,18029,nuclear factor I/C,mouse,0,TF
,Nfil3,18030,"nuclear factor, interleukin 3, regulated",mouse,0,TF
,Nfix,18032,nuclear factor I/X,mouse,0,TF
,Nfkb1,18033,"nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105",mouse,1,TF
,Nfkb2,18034,"nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100",mouse,1,TF
,Nfkbia,18035,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha",mouse,7,TF
,Nfkbib,18036,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, beta",mouse,3,TF
,Nfkbid,243910,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, delta",mouse,1,TF
,Nfkbie,18037,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, epsilon",mouse,0,TF
,Nfkbil1,18038,nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor like 1,mouse,0,TF
,Nfkbiz,80859,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta",mouse,2,TF
,Nfrkb,235134,nuclear factor related to kappa B binding protein,mouse,0,TF
,Nfx1,74164,"nuclear transcription factor, X-box binding 1",mouse,0,TF
,Nfxl1,100978,"nuclear transcription factor, X-box binding-like 1",mouse,0,TF
,Nfya,18044,nuclear transcription factor-Y alpha,mouse,0,TF
,Nfyb,18045,nuclear transcription factor-Y beta,mouse,0,TF
,Nfyc,18046,nuclear transcription factor-Y gamma,mouse,0,TF
,Nhlh1,18071,nescient helix loop helix 1,mouse,0,TF
,Nhlh2,18072,nescient helix loop helix 2,mouse,1,TF
,Nkrf,77286,NF-kappaB repressing factor,mouse,2,TF
,Nkx1-1,672284,"NK1 transcription factor related, locus 1 (Drosophila)",mouse,0,TF
,Nkx1-2,20231,"NK1 transcription factor related, locus 2 (Drosophila)",mouse,0,TF
,Nkx2-1,21869,NK2 homeobox 1,mouse,0,TF
,Nkx2-2,18088,NK2 homeobox 2,mouse,1,TF
,Nkx2-3,18089,NK2 homeobox 3,mouse,0,TF
,Nkx2-4,228731,NK2 homeobox 4,mouse,0,TF
,Nkx2-5,18091,NK2 homeobox 5,mouse,0,TF
,Nkx2-6,18092,NK2 homeobox 6,mouse,0,TF
,Nkx2-9,18094,NK2 homeobox 9,mouse,0,TF
,Nkx3-1,18095,"NK-3 transcription factor, locus 1 (Drosophila)",mouse,0,TF
,Nkx3-2,12020,NK3 homeobox 2,mouse,3,TF
,Nkx6-1,18096,NK6 homeobox 1,mouse,0,TF
,Nkx6-2,14912,NK6 homeobox 2,mouse,1,TF
,Nkx6-3,74561,NK6 homeobox 3,mouse,0,TF
,Nobox,18291,NOBOX oogenesis homeobox,mouse,0,TF
,Noc3l,57753,nucleolar complex associated 3 homolog (S. cerevisiae),mouse,1,TF
,Noc4l,100608,nucleolar complex associated 4 homolog (S. cerevisiae),mouse,1,TF
,Nono,53610,"non-POU-domain-containing, octamer binding protein",mouse,3,TF
,Noto,384452,notochord homolog (Xenopus laevis),mouse,0,TF
,Npas1,18142,neuronal PAS domain protein 1,mouse,0,TF
,Npas2,18143,neuronal PAS domain protein 2,mouse,0,TF
,Npas3,27386,neuronal PAS domain protein 3,mouse,0,TF
,Npas4,225872,neuronal PAS domain protein 4,mouse,0,TF
,Nr0b1,11614,"nuclear receptor subfamily 0, group B, member 1",mouse,4,TF
,Nr0b2,23957,"nuclear receptor subfamily 0, group B, member 2",mouse,4,TF
,Nr1d1,217166,"nuclear receptor subfamily 1, group D, member 1",mouse,0,TF
,Nr1d2,353187,"nuclear receptor subfamily 1, group D, member 2",mouse,0,TF
,Nr1h2,22260,"nuclear receptor subfamily 1, group H, member 2",mouse,1,TF
,Nr1h3,22259,"nuclear receptor subfamily 1, group H, member 3",mouse,2,TF
,Nr1h4,20186,"nuclear receptor subfamily 1, group H, member 4",mouse,1,TF
,Nr1h5,381463,"nuclear receptor subfamily 1, group H, member 5",mouse,0,TF
,Nr1i2,18171,"nuclear receptor subfamily 1, group I, member 2",mouse,0,TF
,Nr1i3,12355,"nuclear receptor subfamily 1, group I, member 3",mouse,2,TF
,Nr2c1,22025,"nuclear receptor subfamily 2, group C, member 1",mouse,1,TF
,Nr2c2,22026,"nuclear receptor subfamily 2, group C, member 2",mouse,0,TF
,Nr2e1,21907,"nuclear receptor subfamily 2, group E, member 1",mouse,1,TF
,Nr2e3,23958,"nuclear receptor subfamily 2, group E, member 3",mouse,0,TF
,Nr2f1,13865,"nuclear receptor subfamily 2, group F, member 1",mouse,0,TF
,Nr2f2,11819,"nuclear receptor subfamily 2, group F, member 2",mouse,0,TF
,Nr2f6,13864,"nuclear receptor subfamily 2, group F, member 6",mouse,1,TF
,Nr3c1,14815,"nuclear receptor subfamily 3, group C, member 1",mouse,1,TF
,Nr3c2,110784,"nuclear receptor subfamily 3, group C, member 2",mouse,2,TF
,Nr4a1,15370,"nuclear receptor subfamily 4, group A, member 1",mouse,2,TF
,Nr4a2,18227,"nuclear receptor subfamily 4, group A, member 2",mouse,1,TF
,Nr4a3,18124,"nuclear receptor subfamily 4, group A, member 3",mouse,0,TF
,Nr5a1,26423,"nuclear receptor subfamily 5, group A, member 1",mouse,1,TF
,Nr5a2,26424,"nuclear receptor subfamily 5, group A, member 2",mouse,0,TF
,Nr6a1,14536,"nuclear receptor subfamily 6, group A, member 1",mouse,0,TF
,Nrf1,18181,nuclear respiratory factor 1,mouse,0,TF
,Nrl,18185,neural retina leucine zipper gene,mouse,0,TF
,Olig1,50914,oligodendrocyte transcription factor 1,mouse,1,TF
,Olig2,50913,oligodendrocyte transcription factor 2,mouse,0,TF
,Olig3,94222,oligodendrocyte transcription factor 3,mouse,0,TF
,Onecut1,15379,"one cut domain, family member 1",mouse,0,TF
,Onecut2,225631,"one cut domain, family member 2",mouse,0,TF
,Onecut3,246086,"one cut domain, family member 3",mouse,0,TF
,Osr1,23967,odd-skipped related 1 (Drosophila),mouse,0,TF
,Osr2,107587,odd-skipped related 2,mouse,0,TF
,Otp,18420,orthopedia homolog (Drosophila),mouse,0,TF
,Otx1,18423,orthodenticle homolog 1,mouse,0,TF
,Otx2,18424,orthodenticle homolog 2,mouse,11,TF
,Ovol1,18426,OVO homolog-like 1 (Drosophila),mouse,0,TF
,Ovol2,107586,ovo-like 2 (Drosophila),mouse,0,TF
,Ovol3,381867,OVO homolog-like 3 (Drosophila),mouse,0,TF
,Parp1,11545,"poly (ADP-ribose) polymerase family, member 1",mouse,2,TF
,Parp12,243771,"poly (ADP-ribose) polymerase family, member 12",mouse,0,TF
,Patz1,56218,POZ (BTB) and AT hook containing zinc finger 1,mouse,0,TF
,Pawr,114774,"PRKC, apoptosis, WT1, regulator",mouse,2,TF
,Pax1,18503,paired box 1,mouse,0,TF
,Pax2,18504,paired box 2,mouse,1,TF
,Pax3,18505,paired box 3,mouse,5,TF
,Pax4,18506,paired box 4,mouse,0,TF
,Pax5,18507,paired box 5,mouse,2,TF
,Pax6,18508,paired box 6,mouse,4,TF
,Pax7,18509,paired box 7,mouse,1,TF
,Pax8,18510,paired box 8,mouse,2,TF
,Pax9,18511,paired box 9,mouse,0,TF
,Paxbp1,67367,PAX3 and PAX7 binding protein 1,mouse,0,TF
,Pbrm1,66923,polybromo 1,mouse,4,TF
,Pbx1,18514,pre B cell leukemia homeobox 1,mouse,0,TF
,Pbx2,18515,pre B cell leukemia homeobox 2,mouse,0,TF
,Pbx3,18516,pre B cell leukemia homeobox 3,mouse,0,TF
,Pbx4,80720,pre B cell leukemia homeobox 4,mouse,0,TF
,Pcbp1,23983,poly(rC) binding protein 1,mouse,2,TF
,Pcbp2,18521,poly(rC) binding protein 2,mouse,3,TF
,Pcbp3,59093,poly(rC) binding protein 3,mouse,0,TF
,Pcbp4,59092,poly(rC) binding protein 4,mouse,0,TF
,Pcgf6,71041,polycomb group ring finger 6,mouse,3,TF
,Pdx1,18609,pancreatic and duodenal homeobox 1,mouse,2,TF
,Peg3,18616,paternally expressed 3,mouse,1,TF
,Pgr,18667,progesterone receptor,mouse,0,TF
,Phb,18673,prohibitin,mouse,1,TF
,Phb2,12034,prohibitin 2,mouse,1,TF
,Phf20,228829,PHD finger protein 20,mouse,3,TF
,Phf5a,68479,PHD finger protein 5A,mouse,1,TF
,Phox2a,11859,paired-like homeobox 2a,mouse,0,TF
,Phox2b,18935,paired-like homeobox 2b,mouse,1,TF
,Phtf1,18685,putative homeodomain transcription factor 1,mouse,1,TF
,Phtf2,68770,putative homeodomain transcription factor 2,mouse,0,TF
,Pitx1,18740,paired-like homeodomain transcription factor 1,mouse,2,TF
,Pitx2,18741,paired-like homeodomain transcription factor 2,mouse,0,TF
,Pitx3,18742,paired-like homeodomain transcription factor 3,mouse,0,TF
,Pknox1,18771,Pbx/knotted 1 homeobox,mouse,0,TF
,Pknox2,208076,Pbx/knotted 1 homeobox 2,mouse,0,TF
,Plag1,56711,pleiomorphic adenoma gene 1,mouse,0,TF
,Plagl1,22634,pleiomorphic adenoma gene-like 1,mouse,0,TF
,Plagl2,54711,pleiomorphic adenoma gene-like 2,mouse,0,TF
,Plek,56193,pleckstrin,mouse,0,TF
,Pogz,229584,pogo transposable element with ZNF domain,mouse,1,TF
,Pou1f1,18736,"POU domain, class 1, transcription factor 1",mouse,0,TF
,Pou2af1,18985,"POU domain, class 2, associating factor 1",mouse,1,TF
,Pou2f1,18986,"POU domain, class 2, transcription factor 1",mouse,2,TF
,Pou2f2,18987,"POU domain, class 2, transcription factor 2",mouse,0,TF
,Pou2f3,18988,"POU domain, class 2, transcription factor 3",mouse,0,TF
,Pou3f1,18991,"POU domain, class 3, transcription factor 1",mouse,0,TF
,Pou3f2,18992,"POU domain, class 3, transcription factor 2",mouse,0,TF
,Pou3f3,18993,"POU domain, class 3, transcription factor 3",mouse,0,TF
,Pou3f4,18994,"POU domain, class 3, transcription factor 4",mouse,0,TF
,Pou4f1,18996,"POU domain, class 4, transcription factor 1",mouse,0,TF
,Pou4f2,18997,"POU domain, class 4, transcription factor 2",mouse,0,TF
,Pou4f3,18998,"POU domain, class 4, transcription factor 3",mouse,0,TF
,Pou5f1,18999,"POU domain, class 5, transcription factor 1",mouse,43,TF
,Pou5f2,75507,"POU domain class 5, transcription factor 2",mouse,0,TF
,Pou6f1,19009,"POU domain, class 6, transcription factor 1",mouse,0,TF
,Pou6f2,218030,"POU domain, class 6, transcription factor 2",mouse,0,TF
,Ppara,19013,peroxisome proliferator activated receptor alpha,mouse,1,TF
,Ppard,19015,peroxisome proliferator activator receptor delta,mouse,1,TF
,Pparg,19016,peroxisome proliferator activated receptor gamma,mouse,5,TF
,Ppp1r13l,333654,"protein phosphatase 1, regulatory (inhibitor) subunit 13 like",mouse,0,TF
,Prdm1,12142,"PR domain containing 1, with ZNF domain",mouse,0,TF
,Prdm10,382066,PR domain containing 10,mouse,0,TF
,Prdm11,100042784,PR domain containing 11,mouse,0,TF
,Prdm12,381359,PR domain containing 12,mouse,0,TF
,Prdm13,230025,PR domain containing 13,mouse,0,TF
,Prdm14,383491,PR domain containing 14,mouse,0,TF
,Prdm15,114604,PR domain containing 15,mouse,0,TF
,Prdm16,70673,PR domain containing 16,mouse,0,TF
,Prdm2,110593,"PR domain containing 2, with ZNF domain",mouse,0,TF
,Prdm4,72843,PR domain containing 4,mouse,0,TF
,Prdm5,70779,PR domain containing 5,mouse,0,TF
,Prdm6,225518,PR domain containing 6,mouse,0,TF
,Prdm8,77630,PR domain containing 8,mouse,0,TF
,Prdm9,213389,PR domain containing 9,mouse,0,TF
,Preb,50907,prolactin regulatory element binding,mouse,0,TF
,Prkrir,72981,"protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor)",mouse,0,TF
,Prop1,19127,paired like homeodomain factor 1,mouse,0,TF
,Prox1,19130,prospero homeobox 1,mouse,0,TF
,Prox2,73422,prospero homeobox 2,mouse,0,TF
,Prrx1,18933,paired related homeobox 1,mouse,0,TF
,Prrx2,20204,paired related homeobox 2,mouse,1,TF
,Prrxl1,107751,paired related homeobox protein-like 1,mouse,0,TF
,Pspc1,66645,paraspeckle protein 1,mouse,1,TF
,Ptf1a,19213,"pancreas specific transcription factor, 1a",mouse,0,TF
,Pura,19290,purine rich element binding protein A,mouse,4,TF
,Purb,19291,purine rich element binding protein B,mouse,0,TF
,Purg,75029,purine-rich element binding protein G,mouse,0,TF
,Rara,19401,"retinoic acid receptor, alpha",mouse,14,TF
,Rarb,218772,"retinoic acid receptor, beta",mouse,2,TF
,Rarg,19411,"retinoic acid receptor, gamma",mouse,2,TF
,Rax,19434,retina and anterior neural fold homeobox,mouse,0,TF
,Rbak,57782,RB-associated KRAB zinc finger,mouse,0,TF
,Rbm22,66810,RNA binding motif protein 22,mouse,0,TF
,Rbpj,19664,recombination signal binding protein for immunoglobulin kappa J region,mouse,5,TF
,Rbpjl,19668,recombination signal binding protein for immunoglobulin kappa J region-like,mouse,0,TF
,Rc3h1,381305,RING CCCH (C3H) domains 1,mouse,2,TF
,Rc3h2,319817,ring finger and CCCH-type zinc finger domains 2,mouse,0,TF
,Rcor1,217864,REST corepressor 1,mouse,1,TF
,Rcor2,104383,REST corepressor 2,mouse,1,TF
,Rcor3,214742,REST corepressor 3,mouse,0,TF
,Rel,19696,reticuloendotheliosis oncogene,mouse,0,TF
,Rela,19697,v-rel reticuloendotheliosis viral oncogene homolog A (avian),mouse,7,TF
,Relb,19698,avian reticuloendotheliosis viral (v-rel) oncogene related B,mouse,1,TF
,Rere,68703,arginine glutamic acid dipeptide (RE) repeats,mouse,1,TF
,Rest,19712,RE1-silencing transcription factor,mouse,1,TF
,Rex2,100043034,reduced expression 2,mouse,0,TF
,Rfx1,19724,"regulatory factor X, 1 (influences HLA class II expression)",mouse,1,TF
