Symbol1,GeneID1,Type1,Symbol1,GeneID1,Type1,Species,PMID,Source,Experiment,Interaction_type,DB
Ar,11835,TF,Tcf21,21412,TF,mouse,15919722,503228,0407:direct interaction,0096:pull down,biogrid
Ar,11835,TF,Tlx3,27140,TF,mouse,20211142,469354,0407:direct interaction,0018:two hybrid,biogrid
Arid1a,93760,TF,E2f4,104394,TF,mouse,17255939,533698,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1a,93760,TF,E2f4,104394,TF,mouse,17255939,EBI-7225654,0915:physical association,0006:anti bait coimmunoprecipitation,intact
Arid1a,93760,TF,E2f5,13559,TF,mouse,17255939,533699,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1a,93760,TF,E2f5,13559,TF,mouse,17255939,EBI-7225679,0915:physical association,0006:anti bait coimmunoprecipitation,intact
Arid1a,93760,TF,Esrrb,26380,TF,mouse,20362541,471474,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1a,93760,TF,Foxp3,20371,TF,mouse,22922362,809948,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1a,93760,TF,Nanog,71950,TF,mouse,23892456,885945,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1a,93760,TF,Nanog,71950,TF,mouse,23892456,EBI-8820601,0914:association,0007:anti tag coimmunoprecipitation,intact
Arid1a,93760,TF,Pou5f1,18999,TF,mouse,22083510,674271,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1a,93760,TF,Rara,19401,TF,mouse,17363140,1276607,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1a,93760,TF,Sall4,99377,TF,mouse,20362541,471256,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1a,93760,TF,Sall4,99377,TF,mouse,20362541,EBI-5714013,0914:association,0007:anti tag coimmunoprecipitation,intact
Arid1a,93760,TF,Smad1,17125,TF,mouse,17255939,533714,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1a,93760,TF,Smad1,17125,TF,mouse,17255939,EBI-7226120,0915:physical association,0006:anti bait coimmunoprecipitation,intact
Arid1a,93760,TF,Smarca2,67155,TF,mouse,17255939,533701,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1a,93760,TF,Smarca4,20586,TF,mouse,12368262,483551,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1a,93760,TF,Smarca4,20586,TF,mouse,17255939,533702,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1a,93760,TF,Smarca4,20586,TF,mouse,19279220,471970,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1a,93760,TF,Smarca4,20586,TF,mouse,23540691,EBI-6900613,0914:association,0006:anti bait coimmunoprecipitation,intact
Arid1a,93760,TF,Smarca4,20586,TF,mouse,23540691,EBI-6900648,0914:association,0006:anti bait coimmunoprecipitation,intact
Arid1a,93760,TF,Smarca4,20586,TF,mouse,23540691,EBI-6900667,0914:association,0006:anti bait coimmunoprecipitation,intact
Arid1a,93760,TF,Smarcc1,20588,TF,mouse,17255939,533700,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1a,93760,TF,Smarcc1,20588,TF,mouse,17255939,EBI-7225729,0915:physical association,0006:anti bait coimmunoprecipitation,intact
Arid1a,93760,TF,Smarcd1,83797,TF,mouse,11988099,EBI-371547,0915:physical association,0071:molecular sieving,intact
Arid1a,93760,TF,Sox2,20674,TF,mouse,21532573,EBI-6120101,0914:association,0007:anti tag coimmunoprecipitation,intact
Arid1a,93760,TF,Sox2,20674,TF,mouse,21532573,EBI-6123027,0914:association,0006:anti bait coimmunoprecipitation,intact
Arid1a,93760,TF,Tfcp2l1,81879,TF,mouse,20362541,471406,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1a,93760,TF,Tfcp2l1,81879,TF,mouse,20362541,EBI-5735888,0914:association,0007:anti tag coimmunoprecipitation,intact
Arid1a,93760,TF,Tfcp2l1,81879,TF,mouse,20362541,EBI-5738236,0914:association,0007:anti tag coimmunoprecipitation,intact
Arid1a,93760,TF,Unk,217331,TF,mouse,25737280,1256856,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1b,239985,TF,E2f1,13555,TF,mouse,17255939,533708,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1b,239985,TF,E2f4,104394,TF,mouse,17255939,533703,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1b,239985,TF,E2f5,13559,TF,mouse,17255939,533704,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1b,239985,TF,Kat5,81601,TF,mouse,17255939,533710,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1b,239985,TF,Smarca2,67155,TF,mouse,17255939,533706,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1b,239985,TF,Smarca2,67155,TF,mouse,19279220,471945,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1b,239985,TF,Smarca4,20586,TF,mouse,11988099,262121,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1b,239985,TF,Smarca4,20586,TF,mouse,11988099,262123,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1b,239985,TF,Smarca4,20586,TF,mouse,17255939,533707,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1b,239985,TF,Smarca4,20586,TF,mouse,19279220,471969,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1b,239985,TF,Smarca4,20586,TF,mouse,23540691,EBI-6900613,0914:association,0006:anti bait coimmunoprecipitation,intact
Arid1b,239985,TF,Smarca4,20586,TF,mouse,23540691,EBI-6900648,0914:association,0006:anti bait coimmunoprecipitation,intact
Arid1b,239985,TF,Smarca4,20586,TF,mouse,23540691,EBI-6900667,0914:association,0006:anti bait coimmunoprecipitation,intact
Arid1b,239985,TF,Smarcc1,20588,TF,mouse,17255939,533705,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1b,239985,TF,Smarcd1,83797,TF,mouse,11988099,262122,0915:physical association,0004:affinity chromatography technology,biogrid
Arid1b,239985,TF,Stat3,20848,TF,mouse,17255939,533715,0915:physical association,0004:affinity chromatography technology,biogrid
Arid2,77044,TF,Smarca2,67155,TF,mouse,19279220,471944,0915:physical association,0004:affinity chromatography technology,biogrid
Arid2,77044,TF,Smarca4,20586,TF,mouse,19279220,471968,0915:physical association,0004:affinity chromatography technology,biogrid
Arid3b,56380,TF,Nanog,71950,TF,mouse,23395962,1110804,0915:physical association,0004:affinity chromatography technology,biogrid
Arid3b,56380,TF,Nanog,71950,TF,mouse,23892456,885880,0915:physical association,0004:affinity chromatography technology,biogrid
Arid3b,56380,TF,Pou5f1,18999,TF,mouse,17093407,471629,0915:physical association,0004:affinity chromatography technology,biogrid
Arid3b,56380,TF,Pou5f1,18999,TF,mouse,20362541,471210,0915:physical association,0004:affinity chromatography technology,biogrid
Arid3b,56380,TF,Pou5f1,18999,TF,mouse,20362541,EBI-5668129,0914:association,0007:anti tag coimmunoprecipitation,intact
Arid3b,56380,TF,Pou5f1,18999,TF,mouse,20362541,EBI-5710940,0914:association,0007:anti tag coimmunoprecipitation,intact
Arid3b,56380,TF,Pou5f1,18999,TF,mouse,20362542,471757,0915:physical association,0004:affinity chromatography technology,biogrid
Arid3b,56380,TF,Pou5f1,18999,TF,mouse,20362542,EBI-3043810,0914:association,0676:tandem affinity purification,intact
Arid3b,56380,TF,Pou5f1,18999,TF,mouse,22083510,674272,0915:physical association,0004:affinity chromatography technology,biogrid
Arid3b,56380,TF,Pou5f1,18999,TF,mouse,22083510,674478,0915:physical association,0004:affinity chromatography technology,biogrid
Arid4b,94246,TF,Tet1,52463,TF,mouse,21490601,824981,0915:physical association,0004:affinity chromatography technology,biogrid
Arid4b,94246,TF,Tet2,214133,TF,mouse,21490601,824973,0915:physical association,0004:affinity chromatography technology,biogrid
Arid5b,71371,TF,Nanog,71950,TF,mouse,21589869,677385,0915:physical association,0004:affinity chromatography technology,biogrid
Arid5b,71371,TF,Nanog,71950,TF,mouse,23892456,885896,0915:physical association,0004:affinity chromatography technology,biogrid
Arid5b,71371,TF,Nanog,71950,TF,mouse,23892456,EBI-8820601,0914:association,0007:anti tag coimmunoprecipitation,intact
Arnt,11863,TF,Ahr,11622,TF,mouse,9020169,EBI-78887,0915:physical association,0018:two hybrid,intact
Arnt,11863,TF,Ahrr,11624,TF,mouse,19251700,1055179,0915:physical association,0004:affinity chromatography technology,biogrid
Arnt,11863,TF,Ahrr,11624,TF,mouse,19251700,1055180,0915:physical association,0004:affinity chromatography technology,biogrid
Arnt,11863,TF,Foxa2,15376,TF,mouse,20609350,EBI-2893433,0914:association,0006:anti bait coimmunoprecipitation,intact
Arnt,11863,TF,Hif1a,15251,TF,mouse,10873592,EBI-945380,0914:association,0413:electrophoretic mobility shift assay,intact
Arnt,11863,TF,Hif1a,15251,TF,mouse,20609350,EBI-2893330,0914:association,0006:anti bait coimmunoprecipitation,intact
Arnt,11863,TF,Hif1a,15251,TF,mouse,20609350,EBI-2893433,0914:association,0006:anti bait coimmunoprecipitation,intact
Arnt,11863,TF,Hif1a,15251,TF,mouse,20609350,EBI-2895338,0914:association,0006:anti bait coimmunoprecipitation,intact
Arnt,11863,TF,Hif1a,15251,TF,mouse,20609350,EBI-2895345,0915:physical association,0096:pull down,intact
Arnt,11863,TF,Sim1,20464,TF,mouse,9020169,EBI-78902,0915:physical association,0018:two hybrid,intact
Arnt,11863,TF,Sim1,20464,TF,mouse,9020169,EBI-78922,0915:physical association,0019:coimmunoprecipitation,intact
