"","Gene"
"1498","Atp6v1h"
"1511","Atp9b"
"1512","Atpaf1"
"1513","Atpaf1"
"1518","Atr"
"1529","Atxn10"
"1530","Atxn1l"
"1531","Atxn2"
"1532","Atxn2"
"1537","Atxn2l"
"1538","Atxn2l"
"1539","Atxn2l"
"1546","Atxn3"
"1548","Atxn7l1"
"1549","Atxn7l1"
"1557","AU022252"
"1558","AU040320"
"1560","Auh"
"1561","Auh"
"1572","Aven"
"1573","Avl9"
"1575","AW209491"
"1577","AW549877"
"1579","Axin1"
"1584","Azi2"
"1585","Azi2"
"1599","B230219D22Rik"
"1609","B3gntl1"
"1619","B4galt7"
"1622","B9d2"
"1623","Babam1"
"1628","Bad"
"1629","Bad"
"1630","Bad"
"1634","Bag1"
"1638","Bag4"
"1639","Bag5"
"1640","Bag6"
"1641","Bag6"
"1648","Banf1"
"1653","Bap1"
"1657","Baz1b"
"1658","Baz2a"
"1659","Baz2a"
"1662","Baz2b"
"1664","Bbip1"
"1666","Bbs1"
"1668","Bbs4"
"1671","Bbx"
"1673","BC003965"
"1674","BC004004"
"1675","BC004004"
"1680","BC005624"
"1681","BC024978"
"1682","BC024978"
"1685","BC029722"
"1686","BC031181"
"1692","Bcap29"
"1693","Bcap31"
"1698","Bcas3"
"1704","Bccip"
"1705","Bcdin3d"
"1710","Bckdk"
"1711","Bckdk"
"1723","Bcl2l13"
"1730","Bcl7b"
"1739","Bcs1l"
"1748","Bet1l"
"1749","Bfar"
"1768","Blmh"
"1769","Bloc1s1"
"1770","Bloc1s2"
"1771","Bloc1s3"
"1773","Bloc1s5"
"1777","Blzf1"
"1778","Blzf1"
"1787","Bmi1"
"1813","Bnip3l"
"1815","Bod1"
"1824","Bop1"
"1827","Borcs7"
"1829","Bphl"
"1830","Bpnt1"
"1832","Bptf"
"1833","Bptf"
"1838","Braf"
"1840","Brap"
"1842","Brcc3"
"1843","Brcc3"
"1850","Brd1"
"1852","Brd2"
"1853","Brd2"
"1858","Brd3"
"1859","Brd4"
"1860","Brd4"
"1865","Brd7"
"1867","Brd9"
"1868","Brf1"
"1873","Brix1"
"1874","Brk1"
"1875","Brms1"
"1876","Brms1l"
"1887","Bsdc1"
"1892","Btaf1"
"1893","Btbd1"
"1897","Btbd2"
"1903","Btbd9"
"1906","Btd"
"1907","Btf3"
"1908","Btf3l4"
"1909","Btf3l4"
"1920","Bub3"
"1921","Bub3"
"1925","Bud31"
"1926","Bud31"
"1928","Bysl"
"1929","Bzw1"
"1930","Bzw2"
"1932","C1d"
"1935","C1galt1c1"
"1938","C1qbp"
"1949","C2cd2"
"1950","C2cd2l"
"1952","C2cd3"
"1956","C330007P06Rik"
"1960","C87436"
"1964","Caap1"
"1965","Cab39"
"1968","Cab39l"
"1971","Cabin1"
"1973","Cables2"
"1974","Cacfd1"
"1989","Cactin"
"1991","Cacybp"
"2002","Calm1"
"2005","Calr"
"2007","Calu"
"2022","Camk2g"
"2023","Camk2g"
"2030","Camkk2"
"2043","Cand1"
"2045","Cant1"
"2048","Canx"
"2049","Canx"
"2066","Capn10"
"2067","Capn10"
"2073","Capn7"
"2078","Caprin1"
"2079","Caprin1"
"2080","Caprin1"
"2098","Capza2"
"2115","Carf"
"2118","Carm1"
"2122","Cars"
"2125","Casc3"
"2126","Casc3"
"2129","Casd1"
"2134","Casp2"
"2153","Cbfa2t2"
"2158","Cbll1"
"2163","Cbx1"
"2164","Cbx1"
"2168","Cbx4"
"2174","Cby1"
"2185","Ccar2"
"2186","Ccdc107"
"2187","Ccdc107"
"2188","Ccdc115"
"2189","Ccdc117"
"2191","Ccdc124"
"2193","Ccdc127"
"2197","Ccdc134"
"2199","Ccdc137"
"2209","Ccdc174"
"2211","Ccdc186"
"2214","Ccdc22"
"2215","Ccdc25"
"2218","Ccdc32"
"2219","Ccdc34"
"2221","Ccdc43"
"2222","Ccdc47"
"2225","Ccdc50"
"2227","Ccdc51"
"2231","Ccdc6"
"2235","Ccdc71"
"2236","Ccdc71l"
"2244","Ccdc84"
"2254","Ccdc90b"
"2255","Ccdc91"
"2258","Ccdc97"
"2262","Ccm2"
"2263","Ccm2"
"2273","Ccnh"
"2274","Ccnh"
"2275","Ccnh"
"2282","Ccni"
"2285","Ccnk"
"2287","Ccnt2"
"2288","Ccny"
"2293","Ccpg1"
"2294","Ccpg1"
"2308","Ccs"
"2312","Cct2"
"2313","Cct3"
"2314","Cct4"
"2316","Cct5"
"2317","Cct7"
"2318","Cct7"
"2321","Cct8"
"2322","Ccz1"
"2336","Cd2bp2"
"2358","Cd3eap"
"2364","Cd47"
"2365","Cd47"
"2384","Cdadc1"
"2385","Cdadc1"
"2390","Cdan1"
"2391","Cdc123"
"2394","Cdc16"
"2396","Cdc23"
"2397","Cdc23"
"2400","Cdc25a"
"2401","Cdc26"
"2404","Cdc34"
"2407","Cdc37"
"2408","Cdc37l1"
"2409","Cdc40"
"2410","Cdc42"
"2418","Cdc42bpg"
"2419","Cdc42bpg"
"2426","Cdc42se1"
"2428","Cdc42se2"
"2429","Cdc5l"
"2430","Cdc73"
"2443","Cdip1"
"2452","Cdk10"
"2453","Cdk11b"
"2458","Cdk12"
"2460","Cdk13"
"2461","Cdk16"
"2473","Cdk4"
"2474","Cdk4"
"2479","Cdk5"
"2480","Cdk5"
"2484","Cdk5rap3"
"2488","Cdk7"
"2490","Cdk9"
"2491","Cdkal1"
"2494","Cdkn1b"
"2495","Cdkn1b"
"2503","Cdkn2aip"
"2527","Cebpg"
"2528","Cebpz"
"2529","Cebpzos"
"2554","Cep104"
"2555","Cep120"
"2559","Cep152"
"2569","Cep350"
"2571","Cep44"
"2573","Cep63"
"2574","Cep63"
"2577","Cep68"
"2578","Cep68"
"2581","Cep76"
"2582","Cep78"
"2587","Cep95"
"2596","Cers5"
"2601","Cetn2"
"2602","Cetn2"
"2605","Cetn3"
"2606","Cfap20"
"2610","Cfdp1"
"2611","Cfl1"
"2612","Cfl1"
"2621","Cggbp1"
"2625","Cgrrf1"
"2630","Chchd1"
"2637","Chchd5"
"2646","Chd1l"
"2649","Chd4"
"2653","Chd6"
"2658","Cherp"
"2669","Chmp2a"
"2671","Chmp2b"
"2672","Chmp3"
"2674","Chmp4b"
"2677","Chmp6"
"2678","Chmp7"
"2682","Chordc1"
"2683","Chp1"
"2690","Chrac1"
"2703","Chtop"
"2704","Chtop"
"2713","Chuk"
"2715","Churc1"
"2716","Ciao1"
"2717","Ciao1"
"2731","Cinp"
"2732","Cipc"
"2733","Cipc"
"2740","Cir1"
"2743","Cisd2"
"2759","Cklf"
"2772","Clcc1"
"2778","Clcn4"
"2785","Cldnd1"
"2798","Clint1"
"2813","Clk3"
"2816","Cln6"
"2818","Clns1a"
"2819","Clock"
"2826","Clpp"
"2827","Clptm1"
"2828","Clptm1l"
"2837","Cltc"
"2838","Cltc"
"2839","Cltc"
"2851","Cluap1"
"2855","Cmas"
"2857","Cmc1"
"2858","Cmc2"
"2863","Cmpk1"
"2865","Cmss1"
"2871","Cmtr1"
"2874","Cnbp"
"2875","Cnbp"
"2876","Cnbp"
"2889","Cndp2"
"2891","Cnep1r1"
"2893","Cnih1"
"2894","Cnih4"
"2902","Cnnm4"
"2903","Cnot1"
"2904","Cnot1"
"2907","Cnot10"
"2908","Cnot11"
"2915","Cnot6l"
"2920","Cnot8"
"2922","Cnot9"
"2925","Cnppd1"
"2926","Cnppd1"
"2927","Cnppd1"
"2935","Cnpy4"
"2936","Cnst"
"2941","Coa3"
"2944","Coa5"
"2945","Coa6"
"2946","Coa7"
"2947","Coasy"
"2953","Cog1"
"2954","Cog2"
"2955","Cog3"
"2956","Cog4"
"2957","Cog5"
"2959","Cog7"
"2960","Cog8"
"2961","Cog8"
"2964","Coil"
"2982","Col4a3bp"
"2983","Col4a3bp"
"3001","Commd10"
"3002","Commd2"
"3003","Commd3"
"3004","Commd4"
"3005","Commd5"
"3007","Commd7"
"3008","Commd7"
"3011","Commd8"
"3016","Comt"
"3017","Comt"
"3018","Comt"
"3019","Comt"
"3036","Copa"
"3038","Copb1"
"3039","Copb2"
"3040","Cope"
"3041","Copg1"
"3042","Copg2"
"3049","Cops3"
"3050","Cops4"
"3052","Cops5"
"3054","Cops6"
"3055","Cops6"
"3058","Cops7a"
"3062","Cops8"
"3064","Copz1"
"3068","Coq2"
"3070","Coq3"
"3073","Coq5"
"3092","Cox11"
"3093","Cox14"
"3094","Cox15"
"3095","Cox16"
"3098","Cox17"
"3100","Cox19"
"3101","Cox20"
"3146","Cpsf1"
"3147","Cpsf2"
"3148","Cpsf3"
"3151","Cpsf6"
"3152","Cpsf6"
"3153","Cpsf6"
"3160","Cpsf7"
"3162","Cpt1a"
"3170","Cptp"
"3172","Cr1l"
"3173","Cr1l"
"3174","Cr1l"
"3191","Cramp1l"
"3195","Crbn"
"3197","Crcp"
"3198","Creb1"
"3204","Crebbp"
"3205","Crebl2"
"3207","Crebzf"
"3211","Creld2"
"3218","Cript"
"3221","Crk"
"3222","Crk"
"3225","Crkl"
"3230","Crnkl1"
"3231","Crot"
"3235","Crtc3"
"3236","Cry1"
"3249","Cryzl1"
"3250","Cryzl1"
"3251","Cryzl1"
"3267","Cse1l"
"3277","Csnk1a1"
"3278","Csnk1a1"
"3285","Csnk1d"
"3286","Csnk1d"
"3295","Csnk1g1"
"3296","Csnk1g2"
"3297","Csnk1g2"
"3300","Csnk1g3"
"3301","Csnk2a1"
"3302","Csnk2a2"
"3303","Csnk2b"
"3316","Cstf1"
"3317","Cstf2"
"3319","Cstf2t"
"3320","Cstf3"
"3321","Ctbp1"
"3322","Ctbp1"
"3323","Ctbp1"
"3341","Ctcf"
"3343","Ctdnep1"
"3344","Ctdp1"
"3361","Ctnnb1"
"3365","Ctnnbl1"
"3366","Ctns"
"3369","Ctps2"
"3370","Ctr9"
"3388","Ctu2"
"3394","Cuedc2"
"3395","Cuedc2"
"3402","Cul1"
"3406","Cul3"
"3407","Cul3"
"3411","Cul4b"
"3418","Cuta"
"3419","Cuta"
"3423","Cux1"
"3427","Cwc15"
"3430","Cwf19l1"
"3431","Cwf19l2"
"3442","Cxxc1"
"3450","Cyb561d2"
"3452","Cyb5b"
"3459","Cyb5r4"
"3471","Cyhr1"
"3472","Cyhr1"
"3492","Cyth2"
"3496","D030056L22Rik"
"3497","D030056L22Rik"
"3504","D17Wsu92e"
"3505","D17Wsu92e"
"3508","D1Ertd622e"
"3509","D1Ertd622e"
"3512","D230025D16Rik"
"3513","D2hgdh"
"3517","D5Ertd579e"
"3518","D5Ertd579e"
"3539","Dad1"
"3548","Dalrd3"
"3551","Dap3"
"3552","Dap3"
"3553","Dap3"
"3567","Dars"
"3569","Dazap1"
"3570","Dazap1"
"3573","Dazap2"
"3579","Dbnl"
"3580","Dbnl"
"3585","Dbr1"
"3591","Dcaf12"
"3592","Dcaf13"
"3593","Dcaf13"
"3596","Dcaf15"
"3600","Dcaf5"
"3602","Dcaf7"
"3603","Dcaf8"
"3604","Dcaf8"
"3609","Dcakd"
"3624","Dcp1a"
"3625","Dcp2"
"3629","Dctn2"
"3632","Dctn3"
"3633","Dctn4"
"3635","Dctn5"
"3637","Dctpp1"
"3643","Dcun1d3"
"3651","Ddb1"
"3655","Ddhd2"
"3662","Ddost"
"3669","Ddx1"
"3670","Ddx10"
"3671","Ddx17"
"3672","Ddx18"
"3673","Ddx19a"
"3674","Ddx19b"
"3676","Ddx20"
"3677","Ddx21"
"3678","Ddx23"
"3679","Ddx24"
"3683","Ddx27"
"3684","Ddx28"
"3685","Ddx31"
"3689","Ddx39b"
"3691","Ddx41"
"3692","Ddx42"
"3693","Ddx46"
"3694","Ddx46"
"3695","Ddx47"
"3696","Ddx47"
"3700","Ddx5"
"3706","Ddx51"
"3707","Ddx52"
"3708","Ddx54"
"3710","Ddx56"
"3712","Ddx6"
"3716","Deaf1"
"3721","Decr2"
"3722","Dedd"
"3742","Dennd6a"
"3744","Denr"
"3745","Denr"
"3752","Derl1"
"3753","Derl2"
"3754","Derl2"
"3763","Desi2"
"3767","Dffa"
"3768","Dffa"
"3771","Dffb"
"3777","Dgcr8"
"3789","Dguok"
"3792","Dhdds"
"3799","Dhps"
"3800","Dhrs1"
"3804","Dhrs7"
"3805","Dhrs7b"
"3806","Dhrs7b"
"3810","Dhx15"
"3811","Dhx16"
"3812","Dhx29"
"3818","Dhx33"
"3819","Dhx34"
"3821","Dhx37"
"3822","Dhx38"
"3823","Dhx40"
"3825","Dhx8"
"3827","Diablo"
"3831","Dicer1"
"3832","Dido1"
"3833","Dido1"
"3836","Dimt1"
"3843","Dis3"
"3866","Dmap1"
"3873","Dmxl1"
"3876","Dnaaf2"
"3878","Dnaaf5"
"3879","Dnaja1"
"3881","Dnaja2"
"3882","Dnaja3"
"3887","Dnajb11"
"3888","Dnajb12"
"3896","Dnajb6"
"3897","Dnajb6"
"3903","Dnajc1"
"3904","Dnajc1"
"3908","Dnajc11"
"3910","Dnajc13"
