"","Gene"
"5696","Gm17018"
"5702","Gm20604"
"5708","Gm29666"
"5722","Gmcl1"
"5725","Gmeb2"
"5726","Gmfb"
"5727","Gmfb"
"5731","Gmppa"
"5737","Gmpr2"
"5738","Gmps"
"5739","Gna11"
"5741","Gna13"
"5745","Gnai3"
"5754","Gnb1"
"5755","Gnb1"
"5756","Gnb1"
"5790","Gnl1"
"5791","Gnl2"
"5792","Gnl3"
"5794","Gnpat"
"5796","Gnpnat1"
"5798","Gnptg"
"5799","Gnptg"
"5807","Golga3"
"5810","Golga4"
"5819","Golph3"
"5821","Golt1b"
"5822","Gopc"
"5823","Gorab"
"5826","Gorasp2"
"5827","Gosr1"
"5829","Gosr2"
"5833","Got2"
"5836","Gpalpp1"
"5839","Gpatch1"
"5840","Gpatch11"
"5842","Gpatch2l"
"5844","Gpatch8"
"5845","Gpbp1"
"5847","Gpbp1l1"
"5861","Gpd1l"
"5864","Gphn"
"5865","Gpi1"
"5869","Gpkow"
"5872","Gpn1"
"5873","Gpn2"
"5874","Gpn3"
"5876","Gpr108"
"5888","Gpr180"
"5896","Gpr89"
"5903","Gps1"
"5904","Gps1"
"5919","Gpx4"
"5951","Grk6"
"5955","Grpel2"
"5956","Grsf1"
"5959","Grwd1"
"5966","Gsk3a"
"5967","Gsk3b"
"5968","Gskip"
"5974","Gspt1"
"5975","Gspt1"
"5976","Gspt1"
"5985","Gstcd"
"5993","Gsto1"
"5996","Gstz1"
"5998","Gtdc1"
"5999","Gtf2a1"
"6002","Gtf2b"
"6003","Gtf2e1"
"6005","Gtf2e2"
"6006","Gtf2e2"
"6009","Gtf2f1"
"6010","Gtf2f2"
"6011","Gtf2h1"
"6015","Gtf2h4"
"6016","Gtf2h5"
"6017","Gtf2h5"
"6020","Gtf2i"
"6023","Gtf3a"
"6024","Gtf3a"
"6027","Gtf3c1"
"6031","Gtf3c3"
"6033","Gtf3c5"
"6034","Gtf3c6"
"6035","Gtpbp1"
"6041","Gtpbp8"
"6047","Guk1"
"6052","Gxylt1"
"6057","Gzf1"
"6061","H13"
"6071","H2afv"
"6072","H2afv"
"6079","H3f3b"
"6086","Hacd3"
"6099","Hars"
"6100","Hars2"
"6102","Hat1"
"6110","Haus7"
"6113","Hax1"
"6116","Hbp1"
"6117","Hbp1"
"6122","Hbs1l"
"6123","Hccs"
"6126","Hcfc1"
"6130","Hcfc2"
"6131","Hcfc2"
"6137","Hdac1"
"6142","Hdac3"
"6143","Hdac4"
"6152","Hdac8"
"6157","Hdgf"
"6159","Hdhd2"
"6160","Hdhd2"
"6164","Hdlbp"
"6165","Hdlbp"
"6170","Heatr1"
"6172","Heatr5a"
"6173","Heatr5b"
"6174","Heatr6"
"6176","Heca"
"6179","Hectd3"
"6183","Helb"
"6185","Helq"
"6189","Hemk1"
"6191","Herc1"
"6192","Herc2"
"6194","Herc3"
"6195","Herc4"
"6200","Herpud2"
"6218","Hgs"
"6219","Hgs"
"6232","Hif1a"
"6235","Hif1an"
"6237","Higd1a"
"6241","Hinfp"
"6242","Hint1"
"6248","Hipk1"
"6254","Hira"
"6255","Hira"
"6261","Hist2h2be"
"6263","Hivep1"
"6268","Hk1"
"6269","Hk1"
"6275","Hlcs"
"6279","Hmbox1"
"6285","Hmg20a"
"6290","Hmgb1"
"6291","Hmgb1"
"6292","Hmgb1"
"6311","Hmgxb3"
"6313","Hmox2"
"6314","Hmox2"
"6315","Hmox2"
"6327","Hnrnpa1"
"6328","Hnrnpa1"
"6331","Hnrnpa2b1"
"6332","Hnrnpa2b1"
"6333","Hnrnpa2b1"
"6334","Hnrnpa2b1"
"6354","Hnrnpab"
"6355","Hnrnpab"
"6356","Hnrnpab"
"6363","Hnrnpc"
"6364","Hnrnpc"
"6373","Hnrnpd"
"6374","Hnrnpd"
"6375","Hnrnpd"
"6376","Hnrnpd"
"6389","Hnrnpdl"
"6390","Hnrnpdl"
"6399","Hnrnpk"
"6400","Hnrnpk"
"6401","Hnrnpk"
"6423","Hnrnpl"
"6424","Hnrnpl"
"6425","Hnrnpl"
"6436","Hnrnpm"
"6437","Hnrnpm"
"6442","Hnrnpu"
"6443","Hnrnpul1"
"6445","Hnrnpul2"
"6459","Hp1bp3"
"6469","Hps6"
"6471","Hras"
"6477","Hs2st1"
"6481","Hsbp1"
"6483","Hscb"
"6486","Hsd17b12"
"6487","Hsd17b4"
"6490","Hsdl1"
"6493","Hsf1"
"6494","Hsf2"
"6495","Hsp90ab1"
"6496","Hsp90b1"
"6501","Hspa13"
"6503","Hspa4"
"6506","Hspa5"
"6520","Hspd1"
"6522","Hspe1"
"6527","Htatsf1"
"6530","Htra2"
"6533","Htt"
"6546","Hyou1"
"6549","Iah1"
"6550","Iars"
"6551","Iars2"
"6554","Ibtk"
"6557","Ice1"
"6558","Ice2"
"6561","Icmt"
"6566","Ide"
"6579","Ier3ip1"
"6608","Ift172"
"6609","Ift20"
"6610","Ift20"
"6611","Ift27"
"6612","Ift46"
"6614","Ift52"
"6620","Igbp1"
"6633","Ighmbp2"
"6635","Ik"
"6638","Ikbkb"
"6675","Ilf2"
"6676","Ilf3"
"6677","Ilf3"
"6682","Ilkap"
"6684","Immp1l"
"6691","Imp4"
"6692","Impa1"
"6693","Impa1"
"6703","Ing1"
"6705","Ing2"
"6706","Ing3"
"6707","Ing3"
"6709","Ing5"
"6711","Inip"
"6712","Ino80"
"6714","Ino80c"
"6716","Inpp1"
"6721","Inpp5b"
"6730","Insig2"
"6732","Insr"
"6733","Ints1"
"6735","Ints10"
"6737","Ints12"
"6739","Ints3"
"6741","Ints4"
"6744","Ints9"
"6748","Invs"
"6751","Ip6k1"
"6752","Ip6k1"
"6758","Ipmk"
"6760","Ipo11"
"6765","Ipo5"
"6769","Ipo8"
"6770","Ipo9"
"6776","Ippk"
"6777","Iqcc"
"6778","Iqcc"
"6783","Iqsec1"
"6791","Irak1bp1"
"6793","Ireb2"
"6807","Irgq"
"6816","Isca2"
"6817","Iscu"
"6818","Iscu"
"6819","Iscu"
"6826","Isg20l2"
"6829","Isoc1"
"6832","Ist1"
"6835","Itch"
"6836","Itch"
"6839","Itfg1"
"6840","Itfg2"
"6872","Itpa"
"6888","Itsn2"
"6889","Ivd"
"6892","Iws1"
"6898","Jagn1"
"6899","Jagn1"
"6900","Jak1"
"6906","Jarid2"
"6911","Jkamp"
"6919","Jmjd8"
"6921","Josd1"
"6935","Jtb"
"6954","Kansl2"
"6955","Kansl2"
"6958","Kansl3"
"6959","Kansl3"
"6960","Kars"
"6961","Kars"
"6967","Kat2b"
"6969","Kat5"
"6975","Kat8"
"6979","Katnb1"
"6984","Kbtbd2"
"6987","Kbtbd4"
"6991","Kcmf1"
"6992","Kcmf1"
"7036","Kctd2"
"7037","Kctd20"
"7041","Kctd5"
"7047","Kdelr1"
"7050","Kdelr2"
"7052","Kdm1a"
"7054","Kdm2a"
"7057","Kdm3b"
"7058","Kdm4a"
"7059","Kdm4a"
"7060","Kdm4b"
"7064","Kdm5a"
"7067","Kdm5c"
"7070","Kdm6a"
"7073","Kdm8"
"7077","Keap1"
"7082","Khdrbs1"
"7086","Khsrp"
"7087","Kidins220"
"7089","Kif13a"
"7092","Kif16b"
"7096","Kif1bp"
"7109","Kif2a"
"7110","Kif2a"
"7156","Klf16"
"7161","Klf7"
"7164","Klhdc10"
"7165","Klhdc2"
"7166","Klhdc3"
"7168","Klhdc4"
"7179","Klhl20"
"7200","Klhl7"
"7204","Klhl9"
"7206","Kmt2b"
"7207","Kmt2b"
"7220","Knop1"
"7223","Kpna1"
"7224","Kpna3"
"7225","Kpna4"
"7226","Kpna4"
"7229","Kpna6"
"7231","Kras"
"7238","Krr1"
"7243","Ksr1"
"7249","Kxd1"
"7255","L3mbtl2"
"7258","Lactb"
"7259","Lactb2"
"7260","Lage3"
"7275","Lamp2"
"7276","Lamp2"
"7281","Lamtor1"
"7284","Lamtor3"
"7286","Lamtor5"
"7287","Lancl1"
"7288","Lancl1"
"7297","Larp1"
"7301","Larp4"
"7303","Larp4b"
"7305","Larp7"
"7306","Lars"
"7308","Las1l"
"7311","Lats1"
"7318","Lclat1"
"7322","Lcmt1"
"7333","Ldb1"
"7334","Ldb1"
"7335","Ldb1"
"7364","Lemd2"
"7365","Lemd3"
"7366","Leng1"
"7367","Leng8"
"7370","Leo1"
"7373","Leprotl1"
"7393","Lias"
"7419","Lin37"
"7421","Lin52"
"7423","Lin7c"
"7438","Llph"
"7439","Lman1"
"7440","Lman1"
"7443","Lman2"
"7453","Lmf2"
"7470","Lmtk2"
"7474","Lonp1"
"7475","Lonp2"
"7503","Lrch3"
"7508","Lrig2"
"7515","Lrp6"
"7516","Lrpap1"
"7517","Lrpap1"
"7520","Lrpprc"
"7540","Lrrc41"
"7542","Lrrc45"
"7548","Lrrc58"
"7549","Lrrc59"
"7569","Lsm1"
"7571","Lsm11"
"7572","Lsm12"
"7573","Lsm14a"
"7575","Lsm14b"
"7576","Lsm14b"
"7582","Lsm4"
"7583","Lsm5"
"7584","Lsm6"
"7585","Lsm6"
"7586","Lsm6"
"7595","Lsm8"
"7612","Ltn1"
"7613","Ltv1"
"7614","Luc7l"
"7615","Luc7l2"
"7616","Luc7l2"
"7623","Luc7l3"
"7624","Luc7l3"
"7625","Luc7l3"
"7658","Lyrm4"
"7667","Lzic"
"7668","Lztfl1"
"7669","Lztfl1"
"7676","Lztr1"
"7694","Maea"
"7701","Mafg"
"7720","Magoh"
"7723","Mak16"
"7726","Malsu1"
"7734","Man1a2"
"7735","Man1b1"
"7745","Manea"
"7754","Map2k1"
"7755","Map2k2"
"7756","Map2k2"
"7762","Map2k4"
"7768","Map2k5"
"7771","Map2k7"
"7773","Map3k10"
"7774","Map3k10"
"7780","Map3k2"
"7782","Map3k4"
"7803","Map4k4"
"7816","Mapk1"
"7817","Mapk1"
"7827","Mapk14"
"7832","Mapk1ip1l"
"7833","Mapk1ip1l"
"7836","Mapk6"
"7838","Mapk8"
"7841","Mapk8ip3"
"7842","Mapk8ip3"
"7845","Mapk9"
"7846","Mapk9"
"7858","Mapkbp1"
"7860","Mapre1"
"7861","Mapre2"
"7865","Marc2"
"7866","Marc2"
"7867","March2"
"7868","March2"
"7869","March2"
"7870","March2"
"7871","March2"
"7893","March5"
"7894","March6"
"7899","Marf1"
"7901","Mark2"
"7904","Mark3"
"7911","Mast2"
"7912","Mast2"
"7918","Mat2a"
"7919","Mat2a"
"7920","Mat2a"
"7921","Mat2a"
"7934","Mat2b"
"7935","Mat2b"
"7941","Mau2"
"7947","Max"
"7949","Maz"
"7950","Maz"
"7957","Mbd1"
"7958","Mbd2"
"7959","Mbd3"
"7960","Mbd3"
"7961","Mbd3"
"7965","Mbd5"
"7966","Mbd5"
"7973","Mbip"
"7975","Mbnl1"
"7976","Mbnl1"
"7991","Mboat7"
"7992","Mbtps1"
"7994","Mbtps2"
"7997","Mcat"
"7999","Mccc1"
"8000","Mccc2"
"8012","Mcm3ap"
"8019","Mcm9"
"8020","Mcmbp"
"8022","Mcoln1"
"8024","Mcrs1"
"8025","Mcts1"
"8027","Mcu"
"8028","Mcur1"
"8029","Mdc1"
"8031","Mdh1"
"8036","Mdm4"
"8039","Mdp1"
"8041","Me2"
"8042","Mea1"
"8043","Meaf6"
"8044","Meaf6"
"8048","Mecp2"
"8052","Med1"
"8055","Med10"
"8059","Med13"
"8060","Med13l"
"8069","Med17"
"8070","Med19"
"8072","Med21"
"8073","Med22"
"8076","Med24"
"8078","Med25"
"8079","Med25"
"8086","Med26"
"8088","Med28"
"8089","Med28"
"8092","Med30"
"8093","Med31"
"8094","Med4"
"8095","Med7"
"8098","Med9"
"8116","Mef2d"
"8117","Mef2d"
"8132","Memo1"
"8138","Mepce"
"8141","Metap1"
"8143","Metap2"
"8144","Metap2"
"8155","Mettl1"
"8156","Mettl14"
"8158","Mettl16"
"8163","Mettl21a"
"8169","Mettl6"
"8171","Mettl9"
"8173","Mex3c"
"8180","Mff"
"8181","Mff"
"8195","Mfn1"
"8196","Mfn1"
"8201","Mfn2"
"8208","Mfsd11"
"8210","Mfsd14a"
"8218","Mfsd8"
"8221","Mgat1"
"8222","Mgat1"
"8229","Mgat2"
"8232","Mgat5"
"8233","Mgea5"
"8242","Mgrn1"
"8250","Mib1"
"8251","Mib1"
"8269","Micu2"
"8280","Mief1"
"8296","Minpp1"
"8299","Mis12"
"8300","Mis18a"
"8304","Mkks"
"8305","Mkks"
"8312","Mkln1"
"8313","Mkln1"
"8320","Mkrn2"
"8322","Mlec"
"8325","Mlf2"
"8330","Mllt1"
"8337","Mlst8"
"8339","Mlx"
"8343","Mlycd"
"8346","Mmab"
"8348","Mmadhc"
"8353","Mmgt1"
"8367","Mob2"
"8372","Mob4"
"8377","Mocs3"
"8378","Mogs"
"8379","Mon1a"
"8380","Mon1a"
"8386","Morc2a"
"8391","Morf4l1"
"8392","Morf4l1"
"8399","Morf4l2"
"8414","Mpdu1"
"8421","Mphosph10"
"8422","Mphosph6"
"8427","Mpi"
"8428","Mplkip"
"8429","Mpnd"
"8442","Mpv17"
"8445","Mpv17l"
"8446","Mpv17l2"
"8454","Mre11a"
"8455","Mre11a"
"8464","Mrm1"
"8469","Mrpl10"
"8470","Mrpl11"
"8472","Mrpl13"
"8473","Mrpl14"
"8478","Mrpl17"
"8481","Mrpl18"
"8482","Mrpl19"
"8488","Mrpl22"
"8489","Mrpl24"
"8490","Mrpl24"
"8491","Mrpl24"
"8501","Mrpl27"
"8502","Mrpl28"
"8505","Mrpl30"
"8510","Mrpl35"
"8511","Mrpl36"
"8512","Mrpl37"
"8513","Mrpl38"
"8514","Mrpl39"
"8515","Mrpl4"
"8516","Mrpl40"
"8517","Mrpl40"
"8520","Mrpl41"
"8522","Mrpl43"
"8523","Mrpl44"
"8524","Mrpl45"
"8527","Mrpl49"
"8528","Mrpl50"
"8529","Mrpl51"
"8540","Mrpl57"
"8541","Mrpl9"
"8542","Mrps10"
"8543","Mrps10"
"8550","Mrps14"
"8551","Mrps15"
"8552","Mrps16"
"8553","Mrps17"
"8554","Mrps17"
"8555","Mrps17"
"8556","Mrps17"
"8574","Mrps18b"
"8576","Mrps2"
"8579","Mrps23"
"8580","Mrps23"
"8601","Mrps25"
"8603","Mrps27"
"8604","Mrps28"
"8605","Mrps30"
"8606","Mrps31"
"8607","Mrps33"
"8608","Mrps33"
"8616","Mrps5"
"8619","Mrps9"
"8620","Mrrf"
"8621","Mrs2"
"8622","Mrto4"
"8632","Msantd4"
"8637","Msl1"
"8638","Msl1"
"8641","Msl2"
"8642","Msl3"
"8664","Mta2"
"8665","Mta3"
"8666","Mta3"
"8671","Mtch1"
"8672","Mtch1"
"8677","Mtdh"
"8680","Mterf4"
"8681","Mtf1"
"8684","Mtfr1l"
"8685","Mtfr1l"
"8699","Mtif2"
"8703","Mtif3"
"8710","Mtmr1"
"8718","Mtmr14"
"8719","Mtmr14"
"8723","Mtmr3"
"8724","Mtmr3"
"8732","Mtmr6"
"8733","Mtmr9"
"8734","Mto1"
"8735","Mtor"
"8736","Mtpap"
"8737","Mtpn"
"8740","Mtrf1l"
"8763","Mut"
"8764","Mvb12a"
"8765","Mvb12b"
"8784","Mybbp1a"
"8790","Mycbp"
"8791","Mycbp2"
"8792","Mycbp2"
"8793","Mycbp2"
"8806","Mydgf"
"8870","Myo9b"
"8871","Myo9b"
"8884","Mzt1"
"8888","N4bp2l2"
"8895","Naa15"
"8896","Naa15"
"8900","Naa20"
"8904","Naa35"
"8906","Naa40"
"8907","Naa50"
"8908","Naa50"
"8916","Nab1"
"8917","Nab1"
"8923","Nabp2"
"8924","Naca"
"8928","Nadk"
"8929","Nadk"
"8937","Nadsyn1"
"8939","Nae1"
"8940","Naf1"
"8950","Nap1l1"
"8951","Nap1l4"
"8952","Nap1l4"
"8955","Napa"
"8956","Napg"
"8959","Narfl"
"8960","Narfl"
"8963","Nars"
"8964","Nars2"
"8965","Nasp"
"8966","Nasp"
"8969","Nat10"
"8977","Nbas"
"8983","Nbn"
"8984","Nbr1"
"8992","Ncapd3"
"8998","Ncbp1"
"8999","Ncbp2"
"9000","Ncbp3"
"9014","Ncl"
"9018","Ncoa2"
"9023","Ncoa5"
"9025","Ncoa6"
"9028","Ncor1"
"9029","Ncor1"
"9030","Ncor1"
"9031","Ncor1"
"9068","Nde1"
"9069","Nde1"
"9075","Ndfip1"
"9076","Ndfip2"
"9077","Ndfip2"
"9084","Ndor1"
"9098","Ndrg3"
"9106","Ndst1"
"9130","Ndufaf1"
"9132","Ndufaf2"
"9137","Ndufaf5"
"9139","Ndufaf7"
"9151","Ndufb8"
"9194","Nedd4l"
"9195","Nedd8"
"9198","Neil1"
"9203","Nek4"
"9207","Nek9"
"9208","Nelfa"
"9209","Nelfb"
"9211","Nelfcd"
"9212","Nelfe"
"9213","Nelfe"
"9217","Nepro"
"9226","Neurl4"
"9227","Neurl4"
"9236","Nf2"
"9251","Nfatc2ip"
"9252","Nfatc3"
"9276","Nfkbil1"
"9279","Nfs1"
"9280","Nfu1"
"9281","Nfx1"
"9282","Nfx1"
"9283","Nfx1"
"9293","Nfyb"
"9296","Ngdn"
"9297","Ngly1"
"9298","Ngrn"
"9299","Nhej1"
"9300","Nhlrc2"
"9309","Nif3l1"
"9310","Nif3l1"
"9313","Nifk"
"9320","Nip7"
"9329","Nipsnap3b"
"9330","Nisch"
"9331","Nisch"
"9340","Nit1"
"9341","Nit1"
"9344","Nit2"
"9351","Nktr"
"9356","Nlk"
"9359","Nmd3"
"9371","Nmt1"
"9372","Nmt2"
"9377","Noa1"
"9378","Nob1"
"9380","Noc3l"
"9384","Nol10"
"9386","Nol12"
"9387","Nol12"
"9392","Nol6"
"9393","Nol7"
"9396","Nolc1"
"9397","Nom1"
"9400","Nop14"
"9401","Nop16"
"9402","Nop2"
"9403","Nop56"
"9407","Nop9"
"9410","Nosip"
"9425","Npepps"
"9431","Nploc4"
"9432","Npm1"
"9433","Npm1"
"9447","Nprl2"
"9464","Nr2c1"
"9467","Nr2c2ap"
"9480","Nras"
"9481","Nrbp1"
"9482","Nrd1"
"9484","Nrde2"
"9490","Nrf1"
"9503","Nsa2"
"9504","Nsd1"
"9506","Nsf"
"9511","Nsmce1"
"9512","Nsmce2"
"9513","Nsmce2"
"9516","Nsmce4a"
"9520","Nsun2"
"9525","Nt5c2"
"9526","Nt5c2"
"9535","Ntan1"
"9538","Nthl1"
"9545","Nub1"
"9547","Nubp2"
"9550","Nucb1"
"9551","Nucb1"
"9557","Nucks1"
"9558","Nudc"
"9561","Nudcd3"
"9565","Nudt13"
"9569","Nudt16l1"
"9570","Nudt18"
"9571","Nudt19"
"9572","Nudt2"
"9573","Nudt21"
"9575","Nudt3"
"9578","Nudt5"
"9579","Nudt5"
"9589","Nudt9"
"9590","Nufip1"
"9591","Nufip2"
"9592","Numa1"
"9598","Nup133"
"9599","Nup153"
"9600","Nup155"
"9603","Nup214"
"9604","Nup214"
"9611","Nup50"
"9612","Nup54"
"9613","Nup85"
"9614","Nup88"
"9615","Nup88"
"9618","Nup93"
"9619","Nup98"
"9620","Nup98"
"9621","Nupl2"
"9622","Nus1"
"9624","Nvl"
"9625","Nxf1"
"9626","Nxf1"
"9631","Nxt1"
"9636","Oard1"
"9637","Oard1"
"9647","Oat"
"9648","Oaz1"
"9649","Oaz1"
"9669","Ocel1"
"9670","Ocel1"
"9675","Ociad1"
"9676","Ociad1"
"9686","Ofd1"
"9694","Ogfod2"
"9698","Ogt"
"9707","Oma1"
"9709","Opa1"
"9712","Opa3"
"9724","Orc2"
"9728","Orc4"
"9730","Orc5"
"9731","Orc6"
"9732","Ormdl1"
"9733","Ormdl2"
"9738","Os9"
"9739","Os9"
"9742","Osbp"
"9745","Osbpl11"
"9749","Osbpl2"
"9762","Oscp1"
"9770","Ost4"
"9771","Ost4"
"9774","Ostc"
"9776","Ostm1"
"9777","Otub1"
"9779","Otud3"
"9780","Otud4"
"9781","Otud4"
"9788","Otulin"
"9791","Oxa1l"
"9792","Oxct1"
"9799","Oxsr1"
"9819","P4hb"
"9821","Pa2g4"
"9822","Pabpc1"
"9827","Pabpn1"
"9828","Pabpn1"
"9829","Pabpn1"
"9837","Pacs1"
"9839","Pacsin2"
"9848","Paf1"
"9849","Pafah1b1"
"9850","Pafah1b1"
"9853","Pafah1b2"
"9860","Paip1"
"9861","Paip1"
"9870","Pak1ip1"
"9871","Pak2"
"9886","Pan2"
"9895","Paox"
"9896","Paox"
"9903","Papolg"
"9905","Papss1"
"9922","Park7"
"9923","Parl"
"9925","Parn"
"9926","Parp1"
"9933","Parp2"
"9937","Parp6"
"9938","Parp6"
"9948","Patl1"
"9953","Paxip1"
"9954","Pbdc1"
"9959","Pbx2"
"9960","Pbx2"
"9966","Pcbp1"
"9967","Pcbp2"
"9968","Pcbp2"
"9969","Pcbp2"
"10000","Pcf11"
"10001","Pcf11"
"10008","Pcgf3"
"10012","Pcif1"
"10016","Pcmt1"
"10017","Pcmt1"
"10023","Pcmtd2"
"10028","Pcnt"
"10029","Pcnx"
"10031","Pcnx4"
"10039","Pcsk7"
"10044","Pcyox1"
"10046","Pcyt1a"
"10049","Pdap1"
"10050","Pdcd10"
"10052","Pdcd11"
"10054","Pdcd2l"
"10057","Pdcd6"
"10058","Pdcd6ip"
"10059","Pdcd6ip"
"10064","Pdcd7"
"10066","Pdcl3"
"10067","Pdcl3"
"10084","Pde4dip"
"10085","Pde4dip"
"10099","Pde7a"
"10116","Pdia3"
"10117","Pdia4"
"10119","Pdia6"
"10141","Pdpk1"
"10145","Pdrg1"
"10146","Pds5a"
"10147","Pds5a"
"10152","Pds5b"
"10159","Pdzd11"
"10160","Pdzd11"
"10165","Pdzd8"
"10183","Pelp1"
"10193","Pes1"
"10195","Pex10"
"10204","Pex13"
"10205","Pex14"
"10207","Pex19"
"10208","Pex19"
"10211","Pex2"
"10212","Pex2"
"10213","Pex2"
"10226","Pex3"
"10229","Pex7"
"10232","Pfdn1"
"10233","Pfdn2"
"10234","Pfdn2"
"10244","Pfkp"
"10245","Pfkp"
"10253","Pgam5"
"10254","Pgam5"
"10266","Pgm1"
"10270","Pgp"
"10273","Pgrmc2"
"10283","Phax"
"10284","Phax"
"10289","Phb2"
"10291","Phc3"
"10295","Phf12"
"10298","Phf14"
"10299","Phf14"
"10300","Phf2"
"10307","Phf23"
"10308","Phf23"
"10312","Phf5a"
"10322","Phkg2"
"10339","Phospho2"
"10341","Phrf1"
"10345","Phtf2"
"10359","Pi4kb"
"10360","Pi4kb"
"10363","Pias1"
"10364","Pias2"
"10382","Pigc"
"10383","Pigf"
"10384","Pigg"
"10385","Pigh"
"10386","Pigk"
"10387","Pigm"
"10388","Pigo"
"10391","Pigp"
"10395","Pigs"
"10396","Pigt"
"10397","Pigu"
"10398","Pigv"
"10399","Pigv"
"10404","Pigw"
"10409","Pih1d1"
"10410","Pih1d1"
"10411","Pih1d1"
"10420","Pik3ca"
"10424","Pik3r1"
"10427","Pik3r4"
"10433","Pin1"
"10436","Pinx1"
"10438","Pip4k2b"
"10439","Pip4k2c"
"10442","Pip5k1c"
"10443","Pip5k1c"
"10449","Pithd1"
"10450","Pitpna"
"10451","Pitpna"
"10454","Pitpnb"
"10455","Pitpnb"
"10477","Pitrm1"
"10483","Pja2"
"10484","Pkd1"
"10524","Pla2g6"
"10525","Pla2g6"
"10528","Plaa"
"10567","Plekha3"
"10578","Plekhb2"
"10579","Plekhb2"
"10596","Plekhj1"
"10601","Plekhn1"
"10602","Plekhn1"
"10609","Plgrkt"
"10610","Plgrkt"
"10640","Plrg1"
"10646","Plscr3"
"10647","Plscr3"
"10648","Plscr3"
"10679","Pmm2"
"10686","Pmpca"
"10688","Pmpcb"
"10703","Pno1"
"10717","Pnpt1"
"10719","Pnrc2"
"10721","Poc1b"
"10722","Poc5"
"10726","Pofut1"
"10728","Pogk"
"10731","Poglut1"
"10739","Polb"
"10741","Pold2"
"10743","Pold3"
"10748","Pole3"
"10749","Pole4"
"10750","Polg"
"10755","Poll"
"10756","Polr1a"
"10757","Polr1b"
"10758","Polr1c"
"10759","Polr1d"
"10760","Polr1d"
"10767","Polr2b"
"10768","Polr2c"
"10769","Polr2e"
"10771","Polr2g"
"10772","Polr2h"
"10775","Polr2j"
"10776","Polr2k"
"10778","Polr2m"
"10780","Polr3a"
"10781","Polr3b"
"10782","Polr3c"
"10786","Polr3e"
"10787","Polr3e"
"10790","Polr3f"
"10792","Polr3gl"
"10793","Polr3h"
"10796","Pom121"
"10799","Pomk"
"10800","Pomp"
"10801","Pomp"
"10802","Pomp"
"10807","Pomt2"
"10813","Pop7"
"10814","Pop7"
"10826","Pot1a"
"10827","Pot1b"
"10828","Pot1b"
"10833","Ppa2"
"10857","Pphln1"
"10858","Pphln1"
"10859","Pphln1"
"10864","Ppib"
"10866","Ppid"
"10867","Ppie"
"10871","Ppil1"
"10872","Ppil2"
"10875","Ppil3"
"10878","Ppip5k2"
"10882","Ppm1a"
"10883","Ppm1d"
"10886","Ppm1g"
"10897","Ppp1cc"
"10899","Ppp1r11"
"10900","Ppp1r11"
"10904","Ppp1r12b"
"10913","Ppp1r15b"
"10922","Ppp1r37"
"10930","Ppp1r7"
"10931","Ppp1r8"
"10936","Ppp2ca"
"10937","Ppp2cb"
"10938","Ppp2r1a"
"10939","Ppp2r1b"
"10940","Ppp2r1b"
"10943","Ppp2r2a"
"10944","Ppp2r2d"
"10947","Ppp2r3c"
"10948","Ppp2r5a"
"10951","Ppp2r5c"
"10953","Ppp2r5d"
"10954","Ppp2r5e"
"10955","Ppp3ca"
"10957","Ppp3cb"
"10958","Ppp3cb"
"10959","Ppp3cb"
"10960","Ppp3cb"
"10975","Ppp3r1"
"10976","Ppp4c"
"10979","Ppp5c"
"10980","Ppp6c"
"10981","Ppp6c"
"10986","Ppp6r1"
"10987","Ppp6r2"
"10995","Ppt1"
"10999","Pptc7"
"11001","Ppwd1"
"11002","Pqbp1"
"11003","Pqbp1"
"11012","Pramef8"
"11015","Prcc"
"11020","Prdm2"
"11022","Prdm4"
"11033","Prdx4"
"11035","Prdx5"
"11036","Prdx5"
"11043","Preb"
"11044","Preb"
"11050","Prep"
"11051","Prepl"
"11062","Prkaa1"
"11068","Prkab2"
"11070","Prkacb"
"11072","Prkag1"
"11076","Prkar1a"
"11077","Prkar1a"
"11090","Prkar2a"
"11099","Prkci"
"11101","Prkcsh"
"11102","Prkcsh"
"11113","Prkdc"
"11116","Prkra"
"11117","Prkrip1"
"11119","Prl8a1"
"11121","Prmt3"
"11122","Prmt5"
"11125","Prmt7"
"11131","Prorsd1"
"11132","Prorsd1"
"11136","Proser1"
"11142","Prpf18"
"11145","Prpf19"
"11146","Prpf19"
"11152","Prpf31"
"11153","Prpf31"
"11156","Prpf38a"
"11158","Prpf39"
"11159","Prpf4"
"11168","Prps1l3"
"11171","Prpsap1"
"11176","Prr14"
"11178","Prr14l"
"11180","Prr3"
"11183","Prrc1"
"11184","Prrc2a"
"11185","Prrc2a"
"11190","Prrc2b"
"11192","Prrc2c"
"11213","Psen1"
"11216","Psg16"
"11220","Pskh1"
"11222","Psma2"
"11224","Psma4"
"11226","Psma5"
"11227","Psma6"
"11228","Psma7"
"11230","Psmb1"
"11232","Psmb2"
"11234","Psmb4"
"11235","Psmb6"
"11236","Psmb7"
"11240","Psmc1"
"11241","Psmc2"
"11242","Psmc3"
"11244","Psmc4"
"11245","Psmc5"
"11246","Psmc6"
"11247","Psmd1"
"11248","Psmd10"
"11249","Psmd11"
"11250","Psmd11"
"11253","Psmd12"
"11254","Psmd12"
"11257","Psmd13"
"11258","Psmd13"
"11259","Psmd13"
"11266","Psmd14"
"11267","Psmd3"
"11268","Psmd3"
"11269","Psmd4"
